表 RA - 9 - 6 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,屋内防水密着工法 (１㎡当たり),,,,,,,,,,,,,,,,,
名 称,,,,摘 要,,,単位,Ｅ－１,,,,,,Ｅ－２,,,,備 考
,,,,,,,,平 面,,,立上り 立下り面,,,平 面,,立上り 立下り面,,
アスファルトプライマー,,,,,,,㎏,0.2,,,0.2,,,0.2,,0.2,,
アスファルト,,,,3種,,,㎏,5,,,6.93,,,4,,4.93,,
ゴムアスファルト系シール材,,,,,,,L,―,,,0.25,,,―,,0.25,,
アスファルトルーフィング,,,,1500,,,㎡,2.28,,,2.28,,,1.14,,1.14,,
網状アスファルトルーフィング,,,,,,,㎡,―,,,0.26,,,―,,0.26,,
ストレッチルーフィング,,,,1000,,,㎡,1.14,,,3.14,,,1.14,,2,,
燃料,,,,重油,,,L,1.5,,,2.1,,,1.2,,1.5,,
防水工,,,,,,,人,0.059,,,0.13,,,0.044,,0.091,,
普通作業員,,,,,,,人,0.021,,,0.041,,,0.016,,0.028,,
その他,,,,,,,式,1,,,1,,,1,,1,,
(注)1.「その他」の率対象は、アスファルトプライマー、アスファルト、ゴムアスファルト系シール材、アスファル,,,,,,,,,,,,,,,,,,
トルーフィング、網状アスファルトルーフィング、ストレッチルーフィング、燃料、防水工、普通作業員とする。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表 RA - 9 - 7 【市】,,,,,,,,,,,,,,,,,,
,シーリング(SR-1シリコーン系、SR-1シリコーン系［防かびタイプ］)                (１ｍ当たり),,,,,,,,,,,,,,,,,
,,,,,,シーリング幅,,,,,,,,,,,,
名 称,,,摘 要,,単位,10mm以下,,,,10mmを超え,,,15mmを超え,,20mmを超え,,25mmを超え,
,,,,,,,,,,15mm以下,,,20mm以下,,25mm以下,,30mm以下,
シーリング材,,,１成分形,,Ｌ,0.055,,,,0.12,,,0.25,,0.34,,0.48,
補 足 材,,,シーリング材の10％,,式,1,,,,1,,,1,,1,,1,
防 水 工,,,,,人,0.027,,,,0.032,,,0.037,,0.042,,0.047,
そ の 他,,,,,式,1,,,,1,,,1,,1,,1,
(注)1. バックアップ材又はボンドブレーカーが不要の場合は、補足材を5％とし、防水工を0.005人減ずる。,,,,,,,,,,,,,,,,,,
2.「その他」の率対象は、シーリング材、補足材、防水工とする。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表 RA - 9 - 8 【市】,,,,,,,,,,,,,,,,,,
,ｼｰﾘﾝｸﾞ(SR-2シリコーン系、MS-2変成シリコーン系、PS-2ポリサルファイド系、PU-2ポリウレタン系)           (１ｍ当たり),,,,,,,,,,,,,,,,,
名 称,,,摘 要,,単位,シーリング幅,,,,,,,,,,,,
,,,,,,10mm以下,,,,10mmを超え 15mm以下,,,15mmを超え 20mm以下,,20mmを超え 25mm以下,,25mmを超え 30mm以下,
シーリング材,,,２成分形,,Ｌ,0.055,,,,0.12,,,0.25,,0.34,,0.48,
補足材,,,シーリング材の10％,,式,1,,,,1,,,1,,1,,1,
防水工,,,,,人,0.029,,,,0.034,,,0.039,,0.044,,0.049,
その他,,,,,式,1,,,,1,,,1,,1,,1,
(注)1. バックアップ材又はボンドブレーカーが不要の場合は、補足材を5％とし、防水工を0.005人減ずる。,,,,,,,,,,,,,,,,,,
,,2.「その他」の率対象は、シーリング材、補足材、防水工とする。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,- RA 37 -,,,,,,,,,
