１０.【第 10 節 石 】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
１ 一般事項,,,,,,,,,,,,
本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,,,,
２ 参考歩掛り,,,,,,,,,,,,
,,,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,,,
イ.石張り(床及び壁)、テラゾブロック張り(床、壁及び幅木)に適用する。,,,,,,,,,,,,
ロ.セメントモルタルの調合及び目地幅は次表による。,,,,,,,,,,,,
材料 施工箇所,,,,,セメント,,砂,,備 考,,,
目地モルタル,,,,,1,,0.5,,目地幅を考慮して砂の粒径を定める。,,,
裏込めモルタル,,,,,1,,3,,,,,
敷きモルタル,,,,,1,,4,,,,,
張付用ペースト,,,,,1,,0,,,,,
,※目地幅は特記による。,,,,,,,,,,,
,,特記がなければ、壁は外壁湿式工法および内壁空積工法で6mm以上、床は屋外で4mm以上、屋内で3～6mmとする。,,,,,,,,,,
,,,,,,,,,,,,
(２)細目工種 表 RA -10- 1 【設】【専】,,,,,,,,,,,,
,外壁湿式工法 (1㎡当たり),,,,,,,,,,,
,,,名,称,摘,要,,単位,壁(花こう岩),,,備 考
,,,,,,,,,ひき石厚30 600×800mm,,割石厚70 600×800mm,
石,,,,材,,,,㎡,1,,1,
セ,,,メ,ント,,,,kg,26.2,,36.5,
,,,砂,,,,,ｍ3,0.063,,0.088,
鉄,,,,筋,Ｄ10,,,kg,3.3,,3.3,
引,,,き,金物,ステンレス製,,,kg,0.04,,0.09,
,,,,,石厚40未満,3.2mm,,,,,,
,,,,,40以上,4.0mm,,,,,,
石,,,,工,,,,人,0.35,,0.4,
普,,,通作,業員,,,,人,0.32,,0.36,
そ,,,の,他,,,,式,1,,1,
(注)1.「その他」の率対象は、石工、普通作業員とする。,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,- RA 39 -,,,
