表 RA -10- 2 【設】【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
内壁空積工法 (1㎡当たり),,,,,,,,
名 称,,摘 要,単位,壁(大理石),,備 考,,
,,,,厚20 900×900mm,,,,
石,材,,㎡,1,,,,
セ,メント,,kg,5,,,,
,砂,,ｍ3,0.012,,白色系の大理石の場合は、寒水石粒とする,,
鉄,筋,Ｄ10,kg,2.2,,,,
引,き金物,ステンレス製3.2mm,kg,0.02,,,,
発泡スチロール,,厚50㎜,㎡,0.08,,,,
石,工,,人,0.33,,,,
普,通作業員,,人,0.3,,,,
そ,の他,,式,1,,,,
(注)1.「その他」の率対象は、石工、普通作業員とする。,,,,,,,,
,,,,,,,,
表 RA -10- 3 【設】【専】,,,,,,,,
床の石張り,,,,,,,(1㎡当たり),
,,,,床(花こう岩),,,床(大理石),
名 称,,摘 要,単位,ひき石厚30,,割石厚100,石厚20,備 考
,,,,600×600mm,,900×450mm,500×500mm,
石 材,,,㎡,1,,1,1,
セ メ ン ト,,,kg,15.5,,20,15.4,
砂,,,ｍ3,0.039,,0.08,0.039,
石 工,,,人,0.25,,0.3,0.25,
普 通 作 業 員,,,人,0.23,,0.27,0.23,
そ の 他,,,式,1,,1,1,
(注)1.「その他」の率対象は、石工、普通作業員とする。,,,,,,,,
,,,,,,,,
,,,,- RA 40 -,,,,
