表 RA -10- 4 【設】【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
テラゾブロック張り (1㎡当たり),,,,,,,
,,,,床,,壁,
名 称,,摘 要,単位,厚30,,厚30,備 考
,,,,500×500mm,,900×900mm,
床テラゾブロック,,,㎡,1,,―,
壁テラゾブロック,,,㎡,―,,1,
セ メ ン ト,,,kg,15.6,,25.4,
砂,,,ｍ3,0.039,,0.063,
鉄 筋,,Ｄ10,kg,―,,2.2,
引 き 金 物,,ステンレス製3.2mm,kg,―,,0.1,
石 工,,,人,0.2,,0.25,
普 通 作 業 員,,,人,0.18,,0.23,
そ の 他,,,式,1,,1,
(注)1.「その他」の率対象は、石工、普通作業員とする。,,,,,,,
,,,,,,,
表 RA -10- 5 【設】【専】,,,,,,,
,幅木テラゾブロック張り (1ｍ当たり),,,,,,
名 称,,摘 要,単位,厚25 900×75mm,,備 考,
テラゾブロック,,,ｍ,1,,,
セメント,,,kg,0.45,,,
砂,,,ｍ3,0.001,,,
石工,,,人,0.08,,,
普通作業員,,,人,0.05,,,
その他,,,式,1,,,
(注)1.「その他」の率対象は、石工、普通作業員とする。,,,,,,,
,,,,,,,
,,,,- RA 41 -,,,
