表 RA -11- 2 【設】【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,外装壁タイル(改良積上げ張り) (1㎡・1ｍ当たり),,,,,,,,,,,,
,,,,平物(㎡当たり),,,役物(ｍ当たり),,,,,,
,,,,小口,二丁掛,,小口,,標準,小口,,二丁掛,
名 称,,摘 要,単位,平,平,,曲がり,,曲がり,屏風曲,,屏風曲,備 考
,,,,108,227,,(108+50),,(168+50),108×(60,,227×(60,
,,,,×60㎜,×60㎜,,×60㎜,,×60㎜,+50)㎜,,+50)㎜,
外装タイル,,,枚,135,67,,15,,15,9.5,,4.5,
セ メ ン ト,,,kg,5.2,5,,0.75,,1.03,0.48,,0.55,
細 骨 材,,砂,ｍ3,0.009,0.009,,0.0013,,0.0019,0.0009,,0.0009,
タ イ ル 工,,,人,0.3,0.29,,0.11,,0.11,0.125,,0.125,
普通作業員,,,人,0.095,0.11,,0.018,,0.018,0.018,,0.018,
そ の 他,,,式,1,1,,1,,1,1,,1,
(注) 1. 表は、公共建築工事標準仕様書平成31年版の仕様とする。,,,,,,,,,,,,,
2.屏風曲がりを水切り等の面台に使用する場合は、労務を各々の80％掛けとする。,,,,,,,,,,,,,
3.「その他」の率対象は、外装タイル、タイル工及び普通作業員とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,
表 RA -11- 3 【設】【専】,,,,,,,,,,,,,
,内外装壁タイル(改良圧着張り) (1㎡・1ｍ当たり),,,,,,,,,,,,
,,,,平物(㎡当たり),,,役物(ｍ当たり),,,,,,
,,,,小口,二丁掛,,小口,,標準,小口,,二丁掛,
名 称,,摘 要,単位,平,平,,曲がり,,曲がり,屏風曲,,屏風曲,備 考
,,,,108,227,,(108+50),,(168+50),108×(60,,227×(60,
,,,,×60㎜,×60㎜,,×60㎜,,×60㎜,+50)㎜,,+50)㎜,
外装タイル,,,枚,135,67,,15,,15,9.5,,4.5,※
セ メ ン ト,,,kg,5.9,5.7,,0.88,,1.21,0.56,,0.64,
細 骨 材,,砂,ｍ3,0.008,0.008,,0.0013,,0.0018,0.0009,,0.0009,
タ イ ル 工,,,人,0.28,0.27,,0.1,,0.1,0.111,,0.111,
普通作業員,,,人,0.081,0.095,,0.018,,0.018,0.018,,0.018,
そ の 他,,,式,1,1,,1,,1,1,,1,
(注) 1.屏風曲がりを水切り等の面台に使用する場合は、労務を各々の80％掛けとする。,,,,,,,,,,,,,
2.「その他」の率対象は、外装タイル、タイル工及び普通作業員とする。,,,,,,,,,,,,,
※内装壁にも使用可能な外装タイルを適用する,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,- RA 43 -,,,,,,,
