表 RA -11- 4 【設】【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,外装壁タイル(改良積上げ張り) (1㎡当たり),,,,,,,,,,,,,
名 称,,摘 要,,単位,,100mm角,,,備 考,,,,,
内装タイル,,,,枚,,102,,,,,,,,
セ メ ン ト,,,,kg,,5.8,,,,,,,,
細 骨 材,,砂,,ｍ3,,0.019,,,,,,,,
タ イ ル 工,,,,人,,0.25,,,,,,,,
普通作業員,,,,人,,0.08,,,,,,,,
そ の 他,,,,式,,1,,,,,,,,
(注) 1. 表は、公共建築工事標準仕様書平成31年版の仕様とする。,,,,,,,,,,,,,,
2.タイルの寸法は、目地を含むモデュール寸法とする。,,,,,,,,,,,,,,
3.「その他」の率対象は、内装タイル、タイル工及び普通作業員とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
表 RA -11- 5 【設】【専】,,,,,,,,,,,,,,
,外装壁モザイクタイル(ユニットタイル マスク張り) (1㎡・1ｍ当たり),,,,,,,,,,,,,
名 称,,摘 要,,単位,,平物(㎡当たり),,,,役物(ｍ当たり),,,,備 考
,,,,,,50角 平 45 ×45㎜,,50二丁 平 95 ×45㎜,,50角 曲がり (45+45) ×45㎜,,50二丁 曲がり (95+45) ×45㎜,50二丁 屏風曲 95×(45 +45)㎜,
モザイクユニットタイル,,,,ｼｰﾄ,,11.5,,11.5,,3.5,,3.5,3.5,
セ メ ン ト,,,,kg,,4.2,,4.1,,0.39,,0.57,0.38,
細 骨 材,,砂,,ｍ3,,0.003,,0.003,,0.0003,,0.0005,0.0003,
タ イ ル 工,,,,人,,0.21,,0.21,,0.08,,0.08,0.08,
普通作業員,,,,人,,0.1,,0.1,,0.022,,0.022,0.022,
そ の 他,,,,式,,1,,1,,1,,1,1,
(注) 1.屏風曲がりを水切り等の面台に使用する場合は、労務を各々の80％掛けとする。,,,,,,,,,,,,,,
2.モザイクユニットタイルの１シート寸法は、300×300mmとする。,,,,,,,,,,,,,,
3.「その他」の率対象は、モザイクユニットタイル、タイル工及び普通作業員とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
表 RA -11- 6 【設】【専】,,,,,,,,,,,,,,
,内装壁タイル(改良積上げ張り) (1㎡当たり),,,,,,,,,,,,,
名 称,,摘 要,単位,,100㎜角,,備 考,,,,,,,
内装タイル,,,枚,,102,,,,,,,,,
セ メ ン ト,,,kg,,5.8,,,,,,,,,
細 骨 材,,砂,ｍ3,,0.019,,,,,,,,,
タ イ ル 工,,,人,,0.25,,,,,,,,,
普通作業員,,,人,,0.08,,,,,,,,,
そ の 他,,,式,,1,,,,,,,,,
(注)1.表は、公共建築工事標準仕様書平成31年版の仕様とする。,,,,,,,,,,,,,,
2. タイルの寸法は、目地を含むモデュール寸法とする。,,,,,,,,,,,,,,
3.「その他」の率対象は、内装タイル、タイル工及び普通作業員とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,- RA 44 -,,,,,
