１２.【第 13 節 屋根及びとい】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
１ 一般事項,,,,,,,,,
本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,
２ 参考歩掛り,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,
長尺金属板葺に適用する。,,,,,,,,,
,,,,,,,,,
(２)細目工種 表 RA -13- 1 【設】【専】,,,,,,,,,
,長尺金属板葺 (1㎡当たり),,,,,,,,
,,,,平葺,,瓦棒葺,,波板葺,
名 称,,摘 要,単位,(四ッ切り),,(＠450mm),,,備 考
,,,,"910×1,820mm",,"910×1,820mm",,"760×1,820mm",
長尺金属板,,,枚,0.73,,0.97,,0.9,
くぎ,,,kg,0.02,,0.03,,0.03,
板金工,,,人,0.08,,0.1,,0.03,
普通作業員,,,人,0.01,,0.014,,0.01,
その他,,,式,1,,1,,1,
(注)1.「その他」の率対象は、長尺金属板、くぎ、板金工、普通作業員とする。,,,,,,,,,
,,,,,,,,,
,,,,,- RA 45 -,,,,
