１３.【第 14 節 金 属】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
１ 一般事項,,,,,,,,,,,,,,,,
本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,,,,,,,,
２ 参考歩掛り,,,,,,,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,,,,,,,
軽量鉄骨壁下地、軽量鉄骨天井下地及び下地ラス張り(壁・天井)に適用する。,,,,,,,,,,,,,,,,
ただし、特定天井及び特定天井の構造耐力上安全な構造方法を定める件(平成２５,,,,,,,,,,,,,,,,
年８月５日 国土交通省告示第７７１号)に定める特定天井、天井面構成部材等の単,,,,,,,,,,,,,,,,
位面積当たりの質量が20kg/㎡を超える天井、水平でない天井及びシステム天井による,,,,,,,,,,,,,,,,
ものを除く。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(２)細目工種 表 RA -14- 1 【設】【専】,,,,,,,,,,,,,,,,
,,軽量鉄骨壁下地 (1㎡当たり),,,,,,,,,,,,,,
,,,,,,50形,,,65形,,,90形,,100形,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,名 称,,,摘要,単位,下地張りなし,,下地張りあり,下地張りなし,下地張りあり,,下地張りなし,下地張りあり,下地張りなし,下地張りあり,備 考
,,,,,,@300,,@450,@300,@450,,@300,@450,@300,@450,
,,,,,,,,,,,,,,,,
,ス タ ッ ド,,,,ｍ,3.5,,2.3,3.5,2.3,,3.5,2.3,3.5,2.3,
,ラ ン ナ,,,,ｍ,0.8,,0.8,0.6,0.6,,0.5,0.5,0.4,0.4,
,スペーサー,,,,個,5.2,,3.5,5.2,3.5,,5.2,3.5,5.2,3.5,
,打込みピン,,,,個,0.9,,0.9,0.7,0.7,,0.5,0.5,0.5,0.5,
,振 止 め,,,,ｍ,0.8,,0.8,0.8,0.8,,0.8,0.8,0.8,0.8,
,内 装 工,,,,人,0.027,,0.025,0.034,0.032,,0.044,0.042,0.049,0.047,
,そ の 他,,,,式,1,,1,1,1,,1,1,1,1,
,,,,,,,,,,,,,,,,
(注) 1. 開口部補強は、別途計上する。,,,,,,,,,,,,,,,,
,,,2.「その他」の率対象は、スタッド、ランナ、スペーサー、打込みピン、振止め、内装工とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,- RA 46 -,,,,,,,
