表 RA -14- 2 【市】【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
軽量鉄骨天井下地 (1㎡当たり),,,,,,,,,,,,,,,,,,
名 称,,,摘要,単位,19形(屋内),,,,,,,,25形(屋外),,,,,備 考
,,,,,下地張りなし,,,,下地張りあり,金属成形板用,,,下地張りなし,,,下地張りあり,金属成形板用,
,,,,,@225,,@300,,@360,@360,,,@225,,@300,@360,@360,
つりボルト,,,,ｍ,1.5,,1.5,,1.5,1.5,,,0.8,,0.8,0.8,0.8,
野 縁 受 け,,,,ｍ,1.4,,1.4,,1.4,1.4,,,1.4,,1.4,1.4,1.4,
野縁受ハンガ,,,,個,1.5,,1.5,,1.5,1.5,,,1.5,,1.5,1.5,1.5,
ナ ッ ト,,,,個,3.1,,3.1,,3.1,3.1,,,3.1,,3.1,3.1,3.1,
野縁受けジョイント,,,,個,0.2,,0.2,,0.2,0.2,,,0.2,,0.2,0.2,0.2,
シングル野縁,,,,ｍ,2.3,,2.3,,2.3,2.9,,,2.3,,2.3,2.9,3.5,
ダブル野縁,,,,ｍ,2.3,,1.2,,0.6,－,,,2.3,,1.2,0.6,－,
シングル野縁ジョイント,,,,個,0.3,,0.3,,0.3,0.4,,,0.3,,0.3,0.4,0.5,
ダブル野縁ジョイント,,,,個,0.3,,0.2,,0.1,－,,,0.3,,0.2,0.1,－,
シングルクリップ,,,,個,2.6,,2.6,,2.6,3.2,,,2.6,,2.6,3.2,3.9,
ダブルクリップ,,,,個,2.6,,1.3,,0.6,－,,,2.6,,1.3,0.6,－,
内 装 工,,,,人,0.041,,0.037,,0.035,0.035,,,0.055,,0.049,0.049,0.049,
そ の 他,,,,式,1,,1,,1,1,,,1,,1,1,1,
(注) 1.開口部補強及びインサートは、別途計上する。,,,,,,,,,,,,,,,,,,
,,2.天井ふところが19形(屋内)の場合は1.5ｍ未満、25形(屋外)の場合は1.0ｍ未満に適用し、それ以外の場合は、,,,,,,,,,,,,,,,,
,,天井下地補強を別途加算する。,,,,,,,,,,,,,,,,
,,3.「その他」の率対象は、つりボルト、野縁受け、野縁受ハンガ、ナット、野縁受けｼﾞｮｲﾝﾄ、シングル野縁、ダ,,,,,,,,,,,,,,,,
,,ブル野縁、ｼﾝｸﾞﾙ野縁ｼﾞｮｲﾝﾄ、ﾀﾞﾌﾞﾙ野縁ｼﾞｮｲﾝﾄ、シングルクリップ、ダブルクリップ、内装工とする。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表 RA -14- 3 【専】,,,,,,,,,,,,,,,,,,
,軽量鉄骨下がり壁下地 (1㎡当たり),,,,,,,,,,,,,,,,,
名 称,,,摘 要,,,単位,,19形(屋内) H=500以下,,,25形(屋外) H=500以下,,,備,,,考,
野 縁 受 け,,,,,,ｍ,,4.7,,,4.7,,,,,,,
シングル野縁,,,,,,ｍ,,9,,,9,,,,,,,
シングル野縁ジョイント,,,,,,個,,1.8,,,1.8,,,,,,,
シングルクリップ,,,,,,個,,6.7,,,6.7,,,,,,,
雑 費,,,,,,式,,1,,,1,,,労務費の6％,,,,
内 装 工,,,,,,人,,0.15,,,0.17,,,,,,,
そ の 他,,,,,,式,,1,,,1,,,,,,,
(注) 1. 雑費には、取付け用のボルト及び溶接材料等を含む。,,,,,,,,,,,,,,,,,,
,,2.「その他」の率対象は、野縁受け、シングル野縁、ｼﾝｸﾞﾙ野縁ｼﾞｮｲﾝﾄ、シングルクリップ、雑費、内装工とする。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,- RA 47 -,,,,,,,,,
