１４.【第 15 節 左 官】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
１ 一般事項,,,,,,,,,,,,,,
本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,,,,,,
２ 参考歩掛り,,,,,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,,,,,
イ.コンクリート直均し、各種モルタル塗り、建具廻りモルタル詰め及び防水入隅処理,,,,,,,,,,,,,,
に適用する。,,,,,,,,,,,,,,
ロ.一般的な混和剤、目地棒、定規等の補助材を含む。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
(２)細目工種 表 RA -15- 1 【専】,,,,,,,,,,,,,,
,床コンクリート直均し仕上げ (1㎡当たり),,,,,,,,,,,,,
名 称,,摘 要,,単位,,薄物仕上げ,,厚物仕上げ,,,備 考,,,
左 官,,,,人,,0.035,,0.025,,,,,,
そ の 他,,,,式,,1,,1,,,,,,
(注) 1.薄物仕上げは、合成樹脂塗り床、ビニル系床材張り及び床コンクリート直均し仕上げ、フリーアクセスフロ,,,,,,,,,,,,,,
ア(置敷式)等に適用する。,,,,,,,,,,,,,,
2.厚物仕上げは、カーペット張り、防水下地及びセルフレベリング材塗り等に適用する。,,,,,,,,,,,,,,
3.「その他」の率対象は、左官とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
表 RA -15- 2 【市】【専】,,,,,,,,,,,,,,
床モルタル塗り (1㎡当たり),,,,,,,,,,,,,,
名 称,,摘 要,単位,,ビニル系 床材下地,,モルタル 仕上げ,,ユニット タイル下地,,,一 般 タイル下地,防 水 下 地,備 考
セメント,,,kg,,11.1,,16.9,,11,,,18.4,9,
細 骨 材,,砂,ｍ3,,0.037,,0.035,,0.027,,,0.046,0.022,
左 官,,,人,,0.045,,0.045,,0.04,,,0.05,0.04,
普通作業員,,,人,,0.034,,0.036,,0.026,,,0.044,0.022,
そ の 他,,,式,,1,,1,,1,,,1,1,
(注)1.「その他」の率対象は、左官、普通作業員とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,- RA 49 -,,,,,,
