表 RA -15- 3 【市】 階段モルタル塗り (1㎡当たり),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
名 称,摘 要,単位,ビニル系 床材下地,モルタル 仕上げ,,備,,,考,,
セメント,,kg,11.1,16.9,,,,,,,
細 骨 材,砂,ｍ3,0.037,0.035,,,,,,,
左 官,,人,0.18,0.18,,,,,,,
普通作業員,,人,0.034,0.036,,,,,,,
そ の 他,,式,1,1,,,,,,,
(注)1.「その他」の率対象は、左官、普通作業員とする。,,,,,,,,,,,
,,,,,,,,,,,
表 RA- 15- 4 【市】 床役物モルタル塗り (1ｍ当たり),,,,,,,,,,,
名 称,摘 要,単位,くつずり幅=100mm,,,,ボーダー幅=150mm,,,備,考
,,,戸当たり無,,戸当たり付,,平部,階段部,,,
セメント,,kg,1.4,,1.7,,2.1,2.1,,,
細 骨 材,砂,ｍ3,0.003,,0.003,,0.004,0.004,,,
左 官,,人,0.053,,0.077,,0.105,0.233,,,
普通作業員,,人,0.003,,0.003,,0.005,0.005,,,
そ の 他,,式,1,,1,,1,1,,,
(注)1.「その他」の率対象は、左官、普通作業員とする。,,,,,,,,,,,
,,,,,,,,,,,
表 RA -15- 5 【市】【専】 幅木モルタル塗り (1ｍ当たり),,,,,,,,,,,
名 称,摘 要,単位,出幅木,,,,幅 木 (目地入),階段出幅木,,備,考
,,,Ｈ=100mm,,Ｈ=300mm,,Ｈ=100mm,Ｈ=150mm,,,
セメント,,kg,1.3,,3.8,,1,1.9,,,
細 骨 材,砂,ｍ3,0.003,,0.009,,0.002,0.004,,,
目地ジョイナー,塩ビ製,ｍ,─,,─,,1.05,─,,,
左 官,,人,0.052,,0.065,,0.033,0.065,,,
普通作業員,,人,0.003,,0.009,,0.003,0.005,,,
そ の 他,,式,1,,1,,1,1,,,
(注)1.「その他」の率対象は、左官、普通作業員とする。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,- RA 50 -,,,,,,
