表 RA -15- 6 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
壁モルタル塗り(モルタル仕上げ) (1㎡当たり),,,,,,,,,,,,,,,,
名 称,,摘 要,,単位,,外壁,,,,内壁,,,,,備,考
,,,,,,はけ引き,,金ごて,,はけ引き,,,金ごて,,,
セメント,,,,kg,,13,,13,,10.3,,,10.3,,,
細 骨 材,,砂,,ｍ3,,0.03,,0.03,,0.024,,,0.024,,,
混 和 材,,消石灰,,kg,,─,,─,,0.38,,,0.38,,,
左 官,,,,人,,0.11,,0.13,,0.095,,,0.115,,,
普通作業員,,,,人,,0.038,,0.038,,0.03,,,0.03,,,
そ の 他,,,,式,,1,,1,,1,,,1,,,
(注)1. 内壁の下塗りに、下塗り用軽量モルタルを使用する場合は、適用しない。,,,,,,,,,,,,,,,,
2.「その他」の率対象は、左官、普通作業員とする。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表 RA -15- 7 【市】【専】,,,,,,,,,,,,,,,,
壁モルタル塗り(下地モルタル) (1㎡当たり),,,,,,,,,,,,,,,,
名 称,適 要,,単位,,ﾕﾆｯﾄﾀｲﾙ下地,,,,外装タイル下地,,,内装タイル下地,,,,備 考
,,,,,外壁,,内壁,,外壁,,内壁,改良積上張り,,接着張り,,
セメント,,,kg,,10.9,,8.5,,9.5,,6.9,3.4,,6.4,,
細 骨 材,砂,,ｍ3,,0.026,,0.019,,0.022,,0.016,0.007,,0.014,,
左 官,,,人,,0.09,,0.07,,0.07,,0.06,0.03,,0.06,,
普通作業員,,,人,,0.032,,0.024,,0.027,,0.02,0.009,,0.018,,
そ の 他,,,式,,1,,1,,1,,1,1,,1,,
(注)1. 内装タイル接着張り下地モルタルは、金ごて仕上げとし、他の下地モルタルは、木ごて仕上げとする。,,,,,,,,,,,,,,,,
2.「その他」の率対象は、左官、普通作業員とする。,,,,,,,,,,,,,,,,
3. 改良積上げ張りの表は、公共建築工事標準仕様書平成31年版の仕様とする。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
表 RA -15- 8 【市】 外部役物モルタル塗り (1ｍ当たり),,,,,,,,,,,,,,,,
名 称,,摘 要,,単位,,パラペット 糸幅=500mm,,笠木 糸幅=340mm,,水切 糸幅=170mm,,,窓台 糸幅=150mm,,備 考,
セメント,,,,kg,,6.5,,4.4,,2.2,,,2,,,
細 骨 材,,砂,,ｍ3,,0.015,,0.01,,0.005,,,0.005,,,
左 官,,,,人,,0.18,,0.1,,0.07,,,0.08,,,
普通作業員,,,,人,,0.015,,0.01,,0.005,,,0.005,,,
そ の 他,,,,式,,1,,1,,1,,,1,,,
(注)1.「その他」の率対象は、左官、普通作業員とする。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,- RA 51 -,,,,,,,,
