表 RA -15- 9 【市】【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
内部役物モルタル塗り (1ｍ当たり),,,,,,,,,,,,
名 称,,摘 要,,単位,,笠木 糸幅=160mm,,膳板 糸幅=150mm,,柱コーナー 加 算,梁コーナー 加 算,備 考
セメント,,,,kg,,2.1,,2,,─,─,
細 骨 材,,砂,,ｍ3,,0.005,,0.005,,─,─,
左 官,,,,人,,0.08,,0.07,,0.015,0.02,
普通作業員,,,,人,,0.005,,0.005,,─,─,
そ の 他,,,,式,,1,,1,,1,1,
(注)1.「その他」の率対象は、左官、普通作業員とする。,,,,,,,,,,,,
,,,,,,,,,,,,
表 RA -15-10 【専】,,,,,,,,,,,,
建具周囲モルタル充てん (1ｍ当たり),,,,,,,,,,,,
名 称,,摘 要,,単位,,外 部,,内 部,,備 考,,
セメント,,,,kg,,4.9,,4.9,,,,
細 骨 材,,砂,,ｍ3,,0.012,,0.012,,,,
防 水 剤,,,,kg,,0.1,,─,,,,
左 官,,,,人,,0.06,,0.05,,,,
普通作業員,,,,人,,0.01,,0.01,,,,
そ の 他,,,,式,,1,,1,,,,
(注)1.「その他」の率対象は、左官、普通作業員とする。,,,,,,,,,,,,
,,,,,,,,,,,,
表 RA - 15 - 11 【専】,,,,,,,,,,,,
,防水入隅処理(モルタル) (１ｍ当たり),,,,,,,,,,,
名 称,,,摘 要,,単位,,所要量,,備 考,,,
セメント,,,,,㎏,,0.28,,,,,
細骨材,,,砂,,ｍ3,,0.00068,,,,,
左官,,,,,人,,0.01,,,,,
普通作業員,,,,,人,,0.00072,,,,,
その他,,,,,式,,1,,,,,
(注)1.「その他」の率対象は、左官、普通作業員とする。,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,- RA 52 -,,,,
