１５.【第 16 節 建 具】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
１ 一般事項,,,,,,,,,,,
(１)本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,,,
(２)養生及びクリーニング費は、別途計上する。,,,,,,,,,,,
２ 参考歩掛り,,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,,
イ.金属製建具の取付手間、ガラス及びガラスとめ材に適用する。,,,,,,,,,,,
ロ.アルミニウム製建具は、枠見込70mm程度を対象とする。,,,,,,,,,,,
ハ.ガラスは、材料費と取付手間を含む。,,,,,,,,,,,
ニ.ガラスとめ材については別途加算する。,,,,,,,,,,,
(２)細目工種,,,,,,,,,,,
(金属製建具),,,,,,,,,,,
表 RA -16- 1 【専】 アルミニウム製出入口戸取付け (１㎡当たり),,,,,,,,,,,
名 称,,摘 要,単位,"片開き 幅 高さmm 900×2,100","両開き 幅 高さmm 1,800×2,100","引違い 幅 高さmm 1,800×2,100",,備,,考,
サッシ工,,,人,0.2,0.19,0.19,,,,,
普通作業員,,,人,0.04,0.04,0.04,,,,,
そ の 他,,,式,1,1,1,,,,,
(注)1.「その他」の率対象は、サッシ工、普通作業員とする。,,,,,,,,,,,
,,,,,,,,,,,
表 RA -16- 2 【専】,,,,,,,,,,,
,アルミニウム製窓取付け (１㎡当たり),,,,,,,,,,
名 称,,摘 要,単位,"引違い 幅 高さmm 1,600×1,500","上げ下げ 幅 高さmm 1,600×1,500","すべり出し 幅 高さmm 1,600×1,500",,"固定 幅 高さmm 1,600×1,500","回転 幅 高さmm 1,600×1,500",,備 考
サッシ工,,,人,0.15,0.19,0.29,,0.16,0.18,,
普通作業員,,,人,0.03,0.04,0.06,,0.03,0.03,,
そ の 他,,,式,1,1,1,,1,1,,
(注)1.「その他」の率対象は、サッシ工、普通作業員とする。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,- RA 53 -,,,,,,
