表 RA -16- 3 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,アルミニウム製建具付属金物取付け (１ｍ当たり・方立１本当たり),,,,,,,,,,,,,,,,,,
名 称,,摘 要,,,単位,,二重皿板 幅 100mm内外,膳板・額縁 幅 60mm内外,,アングル,,,,"方立 高さ 1,500mm内外",,,備,,考
サッシ工,,,,,人,,0.03,0.05,,0.02,,,,0.08,,,,,
普通作業員,,,,,人,,―,―,,―,,,,0.02,,,,,
そ の 他,,,,,式,,1,1,,1,,,,1,,,,,
(注)1.「その他」の率対象は、サッシ工、普通作業員とする。,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
表 RA -16- 4 【専】,,,,,,,,,,,,,,,,,,,
,鋼製出入口戸取付け (１㎡当たり),,,,,,,,,,,,,,,,,,
名 称,,摘 要,,,単位,,"片開き 幅 高さmm 900×2,100","両開き 幅 高さmm 1,800×2,100",,"引違い 幅 高さmm 1,800×2,100",,,,"防火戸(小扉付き) 幅 高さmm 2,000×2,400",,,備,,考
サ ッ シ 工,,,,,人,,0.25,0.24,,0.24,,,,0.32,,,,,
普通作業員,,,,,人,,0.04,0.04,,0.04,,,,0.06,,,,,
そ の 他,,,,,式,,1,1,,1,,,,1,,,,,
(注)1.「その他」の率対象は、サッシ工、普通作業員とする。,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
表 RA -16- 5 【専】,,,,,,,,,,,,,,,,,,,
特殊建具金物取付け (１か所当たり・押板１組当たり),,,,,,,,,,,,,,,,,,,
名 称,,摘 要,,,単位,,ドアクローザ,,フロアヒンジ,,,押 板,,,備 考,,,,
サッシ工,,,,,人,,0.08,,0.12,,,0.11,,,,,,,
普通作業員,,,,,人,,0.01,,0.02,,,0.01,,,,,,,
そ の 他,,,,,式,,1,,1,,,1,,,,,,,
(注)1.「その他」の率対象は、サッシ工、普通作業員とする。,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
(ガラス) 表 RA -16- 6 【市】【専】,,,,,,,,,,,,,,,,,,,
,型板ガラス (1㎡当たり),,,,,,,,,,,,,,,,,,
名 称,,,摘要,単位,,厚4mm 特寸2.18㎡以下,,,厚4mm 特寸4.45㎡以下,,,,厚6mm 特寸2.18㎡以下,,,厚6mm 特寸4.45㎡以下,,備 考,
型板ガラス,,,,㎡,,1.03,,,1.03,,,,1.03,,,1.03,,,
ガ ラ ス 工,,,,人,,0.06,,,0.09,,,,0.09,,,0.14,,,
そ の 他,,,,式,,1,,,1,,,,1,,,1,,,
(注)1.「その他」の率対象は、型板ガラス、ガラス工とする。,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,- RA 54 -,,,,,,,,,,,
