表 RA -16- 7 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
網入型板ガラス (1㎡当たり),,,,,,,,,,,,,,,,,,,,
名 称,,,,摘要,単位,厚6.8mm 特寸2.18㎡以下,,厚6.8mm 特寸4.45㎡以下,,,,備,,,,,考,,,
網入型板ガラス,,,,,㎡,1.03,,1.03,,,,,,,,,,,,
ガラス工,,,,,人,0.13,,0.19,,,,,,,,,,,,
その他,,,,,式,1,,1,,,,,,,,,,,,
(注)1.「その他」の率対象は、網入り型板ガラス、ガラス工とする。,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
表 RA -16- 8 【市】【専】,,,,,,,,,,,,,,,,,,,,
,フロート板ガラス(厚3～6mm) (1㎡当たり),,,,,,,,,,,,,,,,,,,
名 称,,,,摘要,単位,厚3mm 特寸2.18㎡以下,厚5mm､6mm 特寸2.18㎡以下,,,厚5mm､6mm 特寸4.45㎡以下,,,,厚5mm､6mm 特寸6.81㎡以下,,備,,,,考
フロ,,ート板ガラス,,,㎡,1.03,1.03,,,1.03,,,,1.03,,,,,,
ガ,,ラス工,,,人,0.05,0.09,,,0.14,,,,0.17,,,,,,
そ,,の他,,,式,1,1,,,1,,,,1,,,,,,
(注)1.「その他」の率対象は、フロート板ガラス、ガラス工とする。,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
表 RA -16- 9 【市】,,,,,,,,,,,,,,,,,,,,
,フロート板ガラス(厚8mm) (1㎡当たり),,,,,,,,,,,,,,,,,,,
名 称,,,,摘 要,単位,厚8mm 特寸2.18㎡以下,,厚8mm 特寸4.45㎡以下,,,,厚8mm 特寸6.81㎡以下,,,備,,,,考,
フロート板ガラス,,,,,㎡,1.03,,1.03,,,,1.03,,,,,,,,
ガ ラ ス 工,,,,,人,0.13,,0.19,,,,0.23,,,,,,,,
そ の 他,,,,,式,1,,1,,,,1,,,,,,,,
(注)1.「その他」の率対象は、フロート板ガラス、ガラス工とする。,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
表 RA -16- 10 【市】,,,,,,,,,,,,,,,,,,,,
,網入磨き板ガラス (1㎡当たり),,,,,,,,,,,,,,,,,,,
名 称,,,摘 要,,単位,厚6.8mm 特寸2.18㎡以下,,,厚6.8mm 特寸4.45㎡以下,,,,備,,,,,考,,
網入磨き板ガラス,,,,,㎡,1.03,,,1.03,,,,,,,,,,,
ガ ラ ス 工,,,,,人,0.13,,,0.19,,,,,,,,,,,
そ の 他,,,,,式,1,,,1,,,,,,,,,,,
(注)1.「その他」の率対象は、網入磨き板ガラス、ガラス工とする。,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,- RA 55 -,,,,,,,,,,,,
