表 RA -16- 11 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,熱線吸収板ガラス(厚3～6mm) (1㎡当たり),,,,,,,,,,,,,,,,,,,,,,,,
名 称,,,,摘 要,,単位,,厚3mm 特寸2.18㎡以下,,,,,厚5mm､6mm 特寸2.18㎡以下,,,,厚5mm､6mm 特寸4.45㎡以下,,,,厚5mm､6mm 特寸6.81㎡以下,,,備 考,
熱線吸収板ガラス,,,,,,㎡,,1.03,,,,,1.03,,,,1.03,,,,1.03,,,,
ガ ラ ス 工,,,,,,人,,0.05,,,,,0.09,,,,0.14,,,,0.17,,,,
そ の 他,,,,,,式,,1,,,,,1,,,,1,,,,1,,,,
(注)1.「その他」の率対象は、熱線吸収板ガラス、ガラス工とする。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
表 RA -16- 12 【専】,,,,,,,,,,,,,,,,,,,,,,,,,
,熱線吸収板ガラス(厚8mm) (1㎡当たり),,,,,,,,,,,,,,,,,,,,,,,,
名 称,,,,摘 要,,単位,,厚8mm 特寸2.18㎡以下,,,,厚8mm 特寸4.45㎡以下,,,,厚8mm 特寸6.81㎡以下,,,,備,,,考,,
熱線吸収板ガラス,,,,,,㎡,,1.03,,,,1.03,,,,1.03,,,,,,,,,
ガ ラ ス 工,,,,,,人,,0.13,,,,0.19,,,,0.23,,,,,,,,,
そ の 他,,,,,,式,,1,,,,1,,,,1,,,,,,,,,
(注)1.「その他」の率対象は、熱線吸収板ガラス、ガラス工とする。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
表 RA -16- 13 【市】,,,,,,,,,,,,,,,,,,,,,,,,,
複層ガラス (1㎡当たり),,,,,,,,,,,,,,,,,,,,,,,,,
名 称,,,摘 要,,単 位,,FL3:A6:FL3 FL3:A6:HGBFL3,,,FL5:A6:FL5 FL5:A6:HGBFL5,,,,,FL6:A6:FL6 FL6:A6:HGBFL6,,,,FL5:A6:PW6.8,,,,FL6:A6:PW6.8,,
,,,,,,,2.0㎡ 以下,,4.0㎡ 以下,2.0㎡ 以下,,,,4.0㎡ 以下,2.0㎡ 以下,,,4.0㎡ 以下,2.0㎡ 以下,,,4.0㎡ 以下,2.0㎡ 以下,,4.0㎡ 以下
複層ガラス,,,,,㎡,,1,,1,1,,,,1,1,,,1,1,,,1,1,,1
ガラス工,,,,,人,,0.27,,0.41,0.39,,,,0.57,0.47,,,0.69,0.52,,,0.78,0.57,,0.86
その他,,,,,式,,1,,1,1,,,,1,1,,,1,1,,,1,1,,1
(注)1. 略記号はFL:フロート板ガラス、A:空気層、HGBFL:熱線吸収フロート板ガラス、PW:網入磨き板ガラス、 数値は厚さ(mm)を示す。,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.「その他」の率対象は、複層ガラス、ガラス工とする。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,- RA 56 -,,,,,,,,,,,,,,
