ト.土工機械の適用は、次表を標準とする。ただし、現場状況等によりその使用が困難,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,な場合は別途考慮する。,,,,,,,,,,,
,,,,,,,,,,,,,
土工名称,,,土工区分,,,,,,,,適用機械,,備 考
根切り,,,つぼ掘り及び布掘り,,,,,,,,バックホウ0.8ｍ3,,
,,,山留め付き総掘り,,,,自立式,,,,バックホウ1.4ｍ3,,バックホウ積込
,,,,,,,切梁腹起方式,,,,バックホウ1.4ｍ3,,バックホウ積込
,,,,,,,,,,,バックホウ0.45ｍ3,,クラムシェル積込
,,,,,,,グランドアンカー方式,,,,バックホウ1.4ｍ3,,バックホウ積込
,,,,,,,,,,,バックホウ0.8ｍ3,,クラムシェル積込
,,,法付き総掘り,,,,,,,,バックホウ1.4ｍ3,,
,,,小規模土工,,,,,,,,バックホウ0.28ｍ3,,
埋戻し,,,つぼ掘り及び布掘り,,,,,,,,バックホウ0.8ｍ3,,
,,,山留め付き総掘り,,,,,,,,バックホウ0.8ｍ3,,
,,,法付き総掘り,,,,,,,,バックホウ0.8ｍ3,,
,,,小規模土工,,,,,,,,バックホウ0.28ｍ3,,
盛土,,,,,,,,,,,バックホウ0.8ｍ3,,
敷ならし,,,,,,,,,,,ブルドーザ3t級,,
締固め,,,,,,,,,,,振動ローラ2.4～2.8t,,
すきとり,,,,,,,,,,,ブルドーザ3t級,,
積込,,,一般,,,,,,,,バックホウ0.8ｍ3,,
,,,小規模土工,,,,,,,,バックホウ0.28ｍ3,,
建設発生土運搬,,,一般,,,,,,,,ダンプトラック10t積級,,
,,,小規模土工,,,,,,,,ダンプトラック4t積級,,
,,,人力土工,,,,,,,,ダンプトラック2t積級,,
,,,,,,,,,,,,,
(２)細目工種 (根切り) 表 RA - 2 - 1 【市】,,,,,,,,,,,,,
,根切り つぼ掘り及び布掘り(バックホウ0.8ｍ3)                   (1ｍ3当たり),,,,,,,,,,,,
名 称,,,,摘 要,,単位,,所要量,,備 考,,,
バックホウ運転,,,,0.8ｍ3,,日,,0.01,,,,,
普通作業員,,,,,,人,,0.015,,,,,
そ の 他,,,,,,式,,1,,,,,
(注)1.「その他」の率対象は、普通作業員とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,- RA 3 -,,,,
