表 RA -16- 14 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,"強化ガラス(厚5,6mm) (1㎡当たり)",,,,,,,,,,,,,
名 称,,摘 要,単位,厚5mm 特寸2.0㎡以下,,厚5mm 特寸4.0㎡以下,,厚6mm 特寸2.0㎡以下,,厚6mm 特寸4.0㎡以下,,,備 考,
強化ガラス,,,㎡,1,,1,,1,,1,,,,
ガ ラ ス 工,,,人,0.09,,0.14,,0.09,,0.14,,,,
そ の 他,,,式,1,,1,,1,,1,,,,
(注)1.「その他」の率対象は、強化ガラス、ガラス工とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
表 RA -16- 15 【市】,,,,,,,,,,,,,,
,強化ガラス(厚8mm) (1㎡当たり),,,,,,,,,,,,,
名 称,,摘 要,単位,厚8mm 特寸2.0㎡以下,厚8mm 特寸4.0㎡以下,,備,,,,考,,,
強化ガラス,,,㎡,1,1,,,,,,,,,
ガ ラ ス 工,,,人,0.13,0.19,,,,,,,,,
そ の 他,,,式,1,1,,,,,,,,,
(注)1.「その他」の率対象は、強化ガラス、ガラス工とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
表 RA -16- 16 【市】【専】,,,,,,,,,,,,,,
,"強化ガラス(厚10,12mm) (1㎡当たり)",,,,,,,,,,,,,
名 称,,摘 要,単位,厚10mm 特寸2.0㎡以下,厚10mm 特寸4.0㎡以下,,厚12mm 特寸2.0㎡以下,,厚12mm 特寸4.0㎡以下,,,備 考,,
強化ガラス,,,㎡,1,1,,1,,1,,,,,
ガ ラ ス 工,,,人,0.16,0.24,,0.19,,0.28,,,,,
そ の 他,,,式,1,1,,1,,1,,,,,
(注)1.「その他」の率対象は、強化ガラス、ガラス工とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
表 RA -16- 17 【専】,,,,,,,,,,,,,,
,倍強度ガラス(厚6～8mm) (1㎡当たり),,,,,,,,,,,,,
名 称,,摘 要,単位,厚6mm 特寸2.0㎡以下,厚6mm 特寸4.0㎡以下,,厚8mm 特寸2.0㎡以下,,厚8mm 特寸4.0㎡以下,,,厚8mm 特寸6.0㎡以下,,備 考
倍強度ガラス,,,㎡,1,1,,1,,1,,,1,,
ガ ラ ス 工,,,人,0.09,0.14,,0.13,,0.19,,,0.23,,
そ の 他,,,式,1,1,,1,,1,,,1,,
(注)1.「その他」の率対象は、倍強度ガラス、ガラス工とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,- RA 57 -,,,,,,,,,
