１６.【第 17 節 塗 装】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
１ 一般事項,,,,,,,,,,,,,
(１)本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書(以下「標仕仕,,,,,,,,,,,,,
様」という。) 及び公共建築改修工事標準仕様書(以下「改修標仕仕様」という。)に,,,,,,,,,,,,,
よる。,,,,,,,,,,,,,
(２)改修工事においては、「表 RA -17- 23～表 RA -17- 47 」を適用する。,,,,,,,,,,,,,
２ 参考歩掛り,,,,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,,,,
素地ごしらえ、錆止め塗り、仕上げ塗り及び下地調整に適用する。,,,,,,,,,,,,,
,,,,,,,,,,,,,
(２)細目工種 表 RA -17- 1 【市】【専】,,,,,,,,,,,,,
,【標仕仕様】木部及び鉄鋼面の素地ごしらえ (1㎡当たり),,,,,,,,,,,,
名 称,,,,摘 要,,単位,木,,部,鉄 鋼 面,,,備 考
,,,,,,,Ａ 種,,Ｂ 種,Ａ 種,Ｂ 種,Ｃ 種,
化 学 処 理,,,剤,,,kg,―,,―,0.04,―,―,
木部下塗り用調合ﾍﾟｲﾝﾄ,,,,JASS 18 M-304,,kg,0.01,,―,―,―,―,
合成樹脂エマルション,,,パテ,JIS K5669(耐水形),,kg,0.05,,―,―,―,―,
研 磨,,,紙,P120～220,,枚,0.13,,0.07,―,―,0.25,
塗 装,,,工,,,人,0.01,,0.005,0.017,0.017,0.015,
そ の,,,他,,,式,1,,1,1,1,1,
(注) 1.木部Ａ種において屋外の場合は、合成樹脂エマルションパテは不要とし、塗装工の人工0.01を0.007人工とする。,,,,,,,,,,,,,
2.木部Ａ種においてJASS 18-M304 は合成樹脂調合ペイント塗り及びつや有合成樹脂エマルションペイント塗りの場合に適,,,,,,,,,,,,,
,,用し、それ以外はJASS 18 M-308を適用する。,,,,,,,,,,,
,,3. 鉄鋼面Ａ種及びＢ種は製作工場にて行う。また、鉄鋼面Ｂ種のブラスト法に用いるショット等は、別途計上する。,,,,,,,,,,,
,,4.「その他」の率対象は、化学処理剤、木部下塗り用調合ﾍﾟｲﾝﾄ、合成樹脂エマルションパテ、研磨紙、塗装工とする。,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,- RA 59 -,,,,,
