表 RA -17- 2 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,【標仕仕様】モルタル面及びせっこうプラスター面の素地ごしらえ (1㎡当たり),,,,,,,,,,,,,,
名 称,,,,摘 要,,単位,,,Ａ 種,,Ｂ 種,,付着物除去,備 考,
合成樹脂エマルションシーラー,,,,JIS K 5663,,kg,,,0.1,,0.1,,―,,
合成樹脂エマルションパテ,,,,JIS K 5669(耐水形),,kg,,,0.23,,0.08,,―,,
研 磨 紙,,,,P120～220,,枚,,,0.13,,0.07,,―,,
塗 装 工,,,,,,人,,,0.041,,0.019,,0.002,,
そ の 他,,,,,,式,,,1,,1,,1,,
(注)1. 付着物除去は、汚れの除去を含む。,,,,,,,,,,,,,,,
2.「その他」の率対象は、合成樹脂エマルションシーラー、合成樹脂エマルションパテ、研磨紙、塗装工とする。,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
表 RA -17- 3 【市】,,,,,,,,,,,,,,,
【標仕仕様】コンクリート面の素地ごしらえ (1㎡当たり),,,,,,,,,,,,,,,
名 称,,,,摘 要,,単位,,,Ａ 種,,Ｂ 種,,備 考,,
建築用下地調整塗材,,,,JIS A 6916,,kg,,,1.5,,1.5,,,,
合成樹脂エマルションパテ,,,,JIS K 5669(耐水形),,kg,,,0.15,,―,,,,
研 磨 紙,,,,P120～220,,枚,,,0.13,,0.07,,,,
左 官,,,,,,人,,,0.02,,0.02,,,,
塗 装 工,,,,,,人,,,0.023,,0.004,,,,
そ の 他,,,,,,式,,,1,,1,,,,
(注)1.「その他」の率対象は、建築用下地調整塗材、合成樹脂エマルションパテ、研磨紙、左官、塗装工とする。,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
表 RA -17- 4 【市】,,,,,,,,,,,,,,,
【標仕仕様】押出成形セメント板面の素地ごしらえ (1㎡当たり),,,,,,,,,,,,,,,
名 称,,,摘 要,,単位,,Ａ 種,,,Ｂ 種,,備,,,考
反応形合成樹脂シーラ,,,,,,,,,,,,,,,
ーおよび弱溶剤系反応,,,JASS 18 M-201,,kg,,0.08,,,0.08,,,,,
形合成樹脂シーラー 反応形合成樹脂パテ (2液形ｴﾎﾟｷｼ樹脂ﾊﾟﾃ),,,JASS 18 M-202,,kg,,0.3,,,―,,,,,
研 磨 紙,,,P120～220,,枚,,0.07,,,―,,,,,
塗 装 工,,,,,人,,0.033,,,0.013,,,,,
そ の 他,,,,,式,,1,,,1,,,,,
(注)1.「その他」の率対象は、反応形合成樹脂シーラーおよび弱溶剤系反応形合成樹脂シーラー、反応形合成樹脂パテ、研磨紙、,,,,,,,,,,,,,,,
,,塗装工とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,- RA 60 -,,,,,,,
