表 RA -17- 8 【市】 【標仕仕様】合成樹脂調合ペイント塗り(ＳＯＰ) (1㎡当たり),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
名 称,,摘 要,単位,木部,,,鉄鋼面,,,,備 考
,,,,Ａ 種,,Ｂ 種,Ａ 種,,Ｂ 種,,
木部下塗り用調合ペイント,,JASS 18 M-304,kg,0.18,,0.09,―,,―,,合成樹脂
合成樹脂調合ペイント,,JIS K 5516 1種,kg,0.17,,0.17,0.26,,0.17,,
合成樹脂エマルションパテ,,JIS K 5669(耐水形),kg,―,,0.03,―,,―,,
研 磨 紙,,P120～220,枚,―,,0.07,―,,―,,
研 磨 紙,,P220～240,枚,―,,―,0.07,,―,,
塗 装 工,,,人,0.073,,0.059,0.056,,0.038,,
そ の 他,,,式,1,,1,1,,1,,
(注)1.「その他」の率対象は、木部下塗り用調合ペイント、合成樹脂調合ペイント、合成樹脂エマルションパテ、研磨紙、塗装,,,,,,,,,,,
,工とする。,,,,,,,,,,
,,,,,,,,,,,
表 RA- 17- 9 【市】【専】 【標仕仕様】合成樹脂エマルションペイント塗り(ＥＰ) (1㎡当たり),,,,,,,,,,,
名 称,,摘 要,単位,Ａ 種,,,Ｂ 種,,,,備 考
,,,,一 般,,見上げ面,一 般,,見上げ面,,
合成樹脂エマルションペイント,,JIS K 5663 1種,kg,0.3,,0.3,0.2,,0.2,,
合成樹脂エマルションシーラー,,JIS K 5663,kg,0.07,,0.07,0.07,,0.07,,
研 磨 紙,,P220～240,枚,0.07,,―,―,,―,,
塗 装 工,,,人,0.054,,0.06,0.04,,0.046,,
そ の 他,,,式,1,,1,1,,1,,
(注)1.「その他」の率対象は、合成樹脂エマルションペイント、合成樹脂エマルションシーラー、研磨紙、塗装工とする。,,,,,,,,,,,
,,,,,,,,,,,
表 RA -17- 10 【市】【専】 【標仕仕様】つや有合成樹脂エマルションペイント塗り(ＥＰ－Ｇ) (1㎡当たり),,,,,,,,,,,
名 称,,摘 要,単位,Ａ 種,,,Ｂ 種,,,備 考,
,,,,一 般,,見上げ面,一 般,見上げ面,,,
つや有合成樹脂 エマルションペイント,,JIS K 5660,kg,0.3,,0.3,0.2,0.2,,,
合成樹脂エマルションシーラー,,JIS K 5663,kg,0.07,,0.07,0.07,0.07,,,
研 磨 紙,,P220～240,枚,0.25,,―,―,―,,,
塗 装 工,,,人,0.058,,0.06,0.04,0.046,,,
そ の 他,,,式,1,,1,1,1,,,
(注)1.｢その他｣の率対象は、つや有り合成樹脂エマルションペイント、合成樹脂エマルションシーラー、研磨紙、塗装工とす る。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,- RA 62 -,,,,,,
