表 RA -17-11 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,【標仕仕様】木部つや有合成樹脂エマルションペイント塗り(ＥＰ－Ｇ) (1㎡当たり),,,,,,,,,
名 称,,,摘 要,単位,所要量,,備,,考,
合成樹脂ｴﾏﾙｼｮﾝ シーラー,,,JIS K 5663,kg,0.07,,,,,
つや有合成樹脂 エマルションペイント,,,JIS K 5660,kg,0.2,,,,,
合成樹脂エマルションパテ,,,JIS K 5669 (耐水形)(薄付け用),kg,0.03,,,,,
研 磨 紙,,,P120～220,枚,0.07,,,,,
塗 装 工,,,,人,0.044,,,,,
そ の 他,,,,式,1,,,,,
(注)1.「その他」の率対象は、合成樹脂エマルションシーラー、つや有合成樹脂エマルションペイント、合成樹脂エマルション,,,,,,,,,,
,,パテ、研磨紙、塗装工とする。,,,,,,,,
,,,,,,,,,,
表 RA -17- 12 【市】 【標仕仕様】鉄鋼面つや有合成樹脂エマルションペイント塗り(ＥＰ－Ｇ) (1㎡当たり),,,,,,,,,,
名 称,,,摘 要,単位,Ａ 種,,Ｂ 種,備,,考
つや有合成樹脂 エマルションペイント,,,JIS K 5660,kg,0.3,,0.2,,,
研 磨 紙,,,P220～240,枚,0.25,,―,,,
塗 装 工,,,,人,0.048,,0.029,,,
そ の 他,,,,式,1,,1,,,
(注)1.「その他」の率対象は、つや有合成樹脂エマルションペイント、研磨紙、塗装工とする。,,,,,,,,,,
,,,,,,,,,,
表 RA -17- 13 【市】 【標仕仕様】亜鉛めっき鋼面つや有合成樹脂ｴﾏﾙｼｮﾝﾍﾟｲﾝﾄ塗り(ＥＰ－Ｇ) (1㎡当たり),,,,,,,,,,
名 称,,,摘 要,単位,所要量,,備,,考,
つや有合成樹脂 エマルションペイント,,,JIS K 5660,kg,0.2,,,,,
塗 装 工,,,,人,0.029,,,,,
そ の 他,,,,式,1,,,,,
(注)1.「その他」の率対象は、つや有合成樹脂エマルションペイント、塗装工とする。,,,,,,,,,,
,,,,,,,,,,
,,,,,,- RA 63 -,,,,
