表 RA -17- 14 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,【標仕仕様】アクリル樹脂系非水分散形塗料塗り(ＮＡＤ) (1㎡当たり),,,,,,,
名 称,,,摘 要,単位,Ａ 種,,Ｂ 種,備 考
アクリル樹脂系非水分散形塗料,,,JIS K 5670,kg,0.3,,0.2,
研 磨 紙,,,P220～240,枚,0.07,,―,
塗 装 工,,,,人,0.044,,0.029,
そ の 他,,,,式,1,,1,
(注)1.「その他」の率対象は、アクリル樹脂系非水分散形塗料、研磨紙、塗装工とする。,,,,,,,,
,,,,,,,,
表 RA -17- 15 【市】 【標仕仕様】クリヤラッカー塗り(ＣＬ) (1㎡当たり),,,,,,,,
名 称,,,摘 要,単位,Ａ 種,,Ｂ 種,備 考
ラッカー系シーラー,,,JIS K 5533,kg,0.1,,0.1,ウッドシーラー
ラッカー系シーラー,,,JIS K 5533,kg,0.1,,0.1,サンジングシーラー
,,,JIS K 5531,,,,,
ニトロセルロースラッカー,,,,kg,0.2,,0.1,
,,,(木材用ｸﾘﾔﾗｯｶｰ),,,,,
目 止 め 剤,,,ｸﾘﾔﾗｯｶｰ塗り用,kg,0.2,,―,
研 磨 紙,,,P220～240,枚,0.13,,0.13,
研 磨 紙,,,P240～320,枚,0.25,,―,
塗 装 工,,,,人,0.12,,0.067,
そ の 他,,,,式,1,,1,
(注)1.「その他」の率対象は、ラッカー系シーラー、ニトロセルロースラッカー、目止め剤、研磨紙、塗装工とする。,,,,,,,,
,,2. 着色工程は含まない。,,,,,,
,,,,,,,,
表 RA -17- 16 【市】 【標仕仕様】ラッカーエナメル塗り(ＬＥ) (1㎡当たり),,,,,,,,
名 称,,,摘 要,単位,Ａ種,,Ｂ種,備 考
ラッカー系シーラー,,,JIS K 5533,kg,0.1,,0.1,ウッドシーラー
ラッカー系下地塗料,,,JIS K 5535,kg,0.28,,0.28,ラッカーサーフェーサー
ニトロセルロースラッカー,,,JIS K 5531,kg,0.24,,0.16,ラッカーエナメル
研 磨 紙,,,P220～240,枚,0.13,,0.13,
研 磨 紙,,,P320～400,枚,0.5,,0.5,
塗 装 工,,,,人,0.138,,0.117,
そ の 他,,,,式,1,,1,
(注)1.表は、公共建築工事標準仕様書平成28年版の仕様とする。,,,,,,,,
,,2.「その他」の率対象は、ラッカー系シーラー、ラッカー系下地塗料、ニトロセルロースラッカー、研磨紙、塗装工とす る。,,,,,,
,,,,,,,,
,,,,,,- RA 64 -,,
