表 RA -17- 17 【専】 【標仕仕様】オイルステイン塗り(ＯＳ) (1㎡当たり),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
名 称,摘 要,単位,所要量,,備,,考
オイルステイン,,kg,0.06,,,,
塗 装 工,,人,0.052,,,,
そ の 他,,式,1,,,,
(注)1.表は、公共建築工事標準仕様書平成31年版の仕様とする。,,,,,,,
2.素地ごしらえを含む。,,,,,,,
3.「その他」の率対象は、オイルステイン、塗装工とする。,,,,,,,
,,,,,,,
表 RA -17- 18 【市】 【標仕仕様】合成樹脂調合ﾍﾟｲﾝﾄ塗り(ＳＯＰ)(糸幅:300mm以下) (1ｍ当たり),,,,,,,
名 称,摘 要,単位,Ａ種(屋外),,Ｂ種(屋内),備 考,
木部下塗り用調合 ペ イ ン ト,JASS 18 M-304,kg,0.019,,0.01,合成樹脂,
合成樹脂調合ペイント,JIS K 5516,kg,0.017,,0.017,1種淡彩,
合成樹脂エマルションパテ,JIS K 5669(耐水形),kg,―,,0.008,,
研 磨 紙,P120～220,枚,0.013,,0.02,,
塗 装 工,,人,0.027,,0.023,,
そ の 他,,式,1,,1,,
(注)1. 木部に適用し、素地ごしらえ(Ａ種)を含む。,,,,,,,
2.「その他」の率対象は、木部下塗り用調合ペイント、合成樹脂調合ペイント、合成樹脂エマルションパテ、研磨紙、塗,,,,,,,
装工とする。,,,,,,,
,,,,,,,
,,,,- RA 65 -,,,
