表 RA -17- 19 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,【標仕仕様】つや有合成樹脂ｴﾏﾙｼｮﾝﾍﾟｲﾝﾄ塗り(ＥＰ－Ｇ)(糸幅:300mm以下) (1ｍ当たり),,,,,,
名 称,,摘 要,単位,所要量,,備 考,
合成樹脂エマルションシーラー,,JIS K 5663,kg,0.007,,,
つや有合成樹脂 エマルションペイント,,JIS K 5660,kg,0.02,,,
合成樹脂ｴﾏﾙｼｮﾝﾊﾟﾃ,,JIS K 5669 (耐水形)(薄付け用),kg,0.008,,,
木部下塗り用調合ペイント,,JASS 18 M-304,kg,0.001,,合成樹脂,
研 磨 紙,,P120～220,枚,0.02,,,
塗 装 工,,,人,0.018,,,
そ の 他,,,式,1,,,
(注)1. 木部に適用し、素地ごしらえ(Ａ種)を含む。,,,,,,,
2.「その他」の率対象は、合成樹脂エマルションシーラー、つや有合成樹脂エマルションペイント、合成樹脂エマルション,,,,,,,
パテ、木部下塗り用調合ペイント、研磨紙、塗装工とする。,,,,,,,
,,,,,,,
表 RA -17- 20 【市】,,,,,,,
,【標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)             (1ｍ当たり),,,,,,
名 称,,摘 要,単位,Ａ 種,,Ｂ 種,備 考
ラッカー系シーラー,,JIS K 5533,kg,0.01,,0.01,ウッドシーラー
ラッカー系シーラー,,JIS K 5533,kg,0.01,,0.01,サンジングシーラー
,,JIS K 5531,,,,,
ﾆﾄﾛｾﾙﾛｰｽﾗｯｶｰ,,,kg,0.02,,0.01,
,,(木材用ｸﾘﾔﾗｯｶｰ),,,,,
目 止 め 剤,,ｸﾘﾔﾗｯｶ-塗り用,kg,0.02,,―,
研 磨 紙,,P120～220,枚,0.007,,0.007,
研 磨 紙,,P220～240,枚,0.013,,0.013,
研 磨 紙,,P240～320,枚,0.025,,―,
塗 装 工,,,人,0.041,,0.024,
そ の 他,,,式,1,,1,
(注)1. 木部に適用し、素地ごしらえ(Ｂ種)を含む。,,,,,,,
2.「その他」の率対象は、ラッカー系シーラー、ニトロセルロースラッカー、目止め剤、研磨紙、塗装工とする。,,,,,,,
3. 着色工程は含まない。,,,,,,,
,,,,,,,
,,,,,- RA 66 -,,
