表 RA - 2 - 2 【設】【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,根切り つぼ掘り及び布掘り(バックホウ0.45ｍ3)                  (1ｍ3当たり),,,,,
名 称,,摘 要,単位,所要量,,備 考
バックホウ運転,,0.45ｍ3,日,0.017,,
普通作業員,,,人,0.015,,
そ の 他,,,式,1,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,
,,,,,,
表 RA - 2 - 3 【設】【専】,,,,,,
,根切り 山留め付き総掘り 自立式(バックホウ1.4ｍ3)               (1ｍ3当たり),,,,,
名 称,,摘 要,単位,所要量,,備 考
バックホウ運転,,1.4ｍ3,日,0.0039,,
普通作業員,,,人,0.003,,
そ の 他,,,式,1,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,
,,,,,,
表 RA - 2 - 4 【市】,,,,,,
,根切り 山留め付き総掘り 自立式(バックホウ0.8ｍ3)               (1ｍ3当たり),,,,,
名 称,,摘 要,単位,所要量,,備 考
バックホウ運転,,0.8ｍ3,日,0.0063,,
普通作業員,,,人,0.003,,
そ の 他,,,式,1,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,
,,,,,,
表 RA - 2 - 5 【設】【専】,,,,,,
,根切り 山留め付き総掘り 切梁腹起方式(バックホウ1.4ｍ3)           (1ｍ3当たり),,,,,
名 称,,摘 要,単位,所要量,,備 考
バックホウ運転,,1.4ｍ3,日,0.0044,,
普通作業員,,,人,0.009,,
そ の 他,,,式,1,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,
,,,,,,
表 RA - 2 - 6 【市】,,,,,,
,根切り 山留め付き総掘り 切梁腹起方式(バックホウ0.8ｍ3)           (1ｍ3当たり),,,,,
名 称,,摘 要,単位,所要量,,備 考
バックホウ運転,,0.8ｍ3,日,0.0071,,
普通作業員,,,人,0.009,,
そ の 他,,,式,1,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,
,,,,,,
,,,,,- RA 4 -,
