表 RA -17- 21 【市】 【標仕仕様】ラッカーエナメル塗り(ＬＥ)(糸幅:300mm以下) (1ｍ当たり),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
名 称,,摘 要,単位,Ａ種,,,Ｂ種,,備 考,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
セラックニス類,,JASS 18 M-308,kg,0.001,,,－,,,,
合成樹脂エマルションパテ,,JIS K 5669(耐水形),kg,0.005,,,0.005,,,,
ラッカー系シーラー,,JIS K 5533,kg,0.01,,,0.01,,ウッドシーラー,,
ラッカー系下地塗料,,JIS K 5535,kg,0.028,,,0.028,,ラッカーサーフェーサー,,
ニトロセルロースラッカー,,JIS K 5531,kg,0.024,,,0.016,,ラッカーエナメル,,
研 磨 紙,,P120～220,枚,0.013,,,0.013,,,,
研 磨 紙,,P220～240,枚,0.013,,,0.013,,,,
研 磨 紙,,P320～400,枚,0.05,,,0.05,,,,
塗 装 工,,,人,0.049,,,0.042,,,,
そ の 他,,,式,1,,,1,,,,
,,,,,,,,,,,
(注)1.表は、公共建築工事標準仕様書平成28年版の仕様とする。,,,,,,,,,,,
2. 木部に適用し、素地ごしらえ(Ａ種)を含む。,,,,,,,,,,,
3.「その他」の率対象は、セラックニス類、合成樹脂エマルションパテ、ラッカー系シーラー、ラッカー系下地塗料、ニ,,,,,,,,,,,
トロセルロースラッカー、研磨紙、塗装工とする。,,,,,,,,,,,
,,,,,,,,,,,
表 RA -17- 22 【市】,,,,,,,,,,,
,【標仕仕様】オイルステイン塗り(ＯＳ)(糸幅:300mm以下) (1ｍ当たり),,,,,,,,,,
名 称,,摘 要,単位,所要量,,,備,,,,考
オイルステイン,,,kg,0.006,,,,,,,
塗装工,,,人,0.017,,,,,,,
その他,,,式,1,,,,,,,
(注) 1. 表は、公共建築工事標準仕様書平成31年版の仕様とする。,,,,,,,,,,,
2. 木部に適用し、素地ごしらえを含む。,,,,,,,,,,,
3.「その他」の率対象は、オイルステイン、塗装工とする。,,,,,,,,,,,
,,,,,,,,,,,
表 RA -17- 23 【市】,,,,,,,,,,,
,【改修標仕仕様】木部の下地調整 (1㎡当たり),,,,,,,,,,
名 称,,摘 要,単位,ＲＡ種 (塗替え面),,ＲＢ種 (塗替え面),,ＲＣ種 (塗替え面),,備 考,
木部下塗り用調合ペイント,,JASS 18 M-304,kg,0.01,,―,,―,,合成樹脂,
合成樹脂エマルションパテ,,JIS K 5669(耐水形),kg,0.06,,―,,―,,,
研 磨 紙,,P120～220,枚,0.13,,0.07,,―,,,
研 磨 紙,,P240～320,枚,―,,―,,0.07,,,
塗 装 工,,,人,0.01,,0.004,,0.004,,,
その他,,,式,1,,1,,1,,,
(注)1.ＲＡ種において屋外の場合は、合成樹脂エマルションパテは不要とし、塗装工の人工を0.007人工とする。,,,,,,,,,,,
2.ＲＡ種において、JASS 18 M304 は合成樹脂調合ペイント及びつや有合成樹脂エマルションペイントに適用し、それ以,,,,,,,,,,,
外はJASS 18M-308を適用する。,,,,,,,,,,,
3.「その他」の率対象は、木部下塗り用調合ペイント、合成樹脂エマルションパテ、研磨紙、塗装工とする。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,- RA 67 -,,,,,,
