表 RA -17- 24 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,【改修標仕仕様】鉄鋼面の下地調整 (1㎡当たり),,,,,,,,,,,,
名 称,,,摘 要,単位,ＲＡ種 (塗替え面),,,ＲＢ種 (塗替え面),,ＲＣ種 (塗替え面),,備 考,
研,,磨紙,P120～220,枚,0.07,,,0.07,,―,,,
研,,磨紙,P240～320,枚,―,,,―,,0.07,,,
塗,,装工,,人,0.006,,,0.006,,0.004,,,
そ,,の他,,式,1,,,1,,1,,,
(注)1.「その他」の率対象は、研磨紙、塗装工とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,
表 RA -17- 25 【市】,,,,,,,,,,,,,
,【改修標仕仕様】モルタル面及びせっこうプラスター面の下地調整 (1㎡当たり),,,,,,,,,,,,
名 称,,,摘 要,単位,ＲＡ種 (塗替え面),,ＲＢ種 (塗替え面),,ＲＣ種 (塗替え面),,付着物 除 去,,備 考
合成樹脂エマルションシーラー,,,JIS K 5663,kg,0.1,,0.03,,―,,―,,
合成樹脂エマルションパテ,,,JIS K 5669(耐水形),kg,0.23,,0.08,,―,,―,,
研 磨 紙,,,P120～220,枚,0.13,,0.07,,―,,―,,
研 磨 紙,,,P240～320,枚,―,,―,,0.07,,―,,
塗 装 工,,,,人,0.041,,0.012,,0.004,,0.002,,
そ の 他,,,,式,1,,1,,1,,1,,
(注)1.「その他」の率対象は、合成樹脂エマルションシーラー、合成樹脂エマルションパテ、研磨紙、塗装工とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,
表 RA -17- 26 【市】 【改修標仕仕様】コンクリート面の下地調整 (1㎡当たり),,,,,,,,,,,,,
名 称,,,摘 要,単位,ＲＡ種 (塗替え面),,ＲＢ種 (塗替え面),,ＲＣ種 (塗替え面),,備 考,,
建築用下地調整塗材,,,JIS A 6916,kg,1.5,,0.75,,―,,,,
合成樹脂エマルションパテ,,,JIS K 5669(耐水形),kg,0.15,,―,,―,,,,
研 磨 紙,,,P120～220,枚,0.13,,0.07,,―,,,,
研 磨 紙,,,P240～320,枚,―,,―,,0.07,,,,
左 官,,,,人,0.02,,0.01,,―,,,,
塗 装 工,,,,人,0.023,,0.004,,0.004,,,,
そ の 他,,,,式,1,,1,,1,,,,
(注)1.「その他」の率対象は、建築用下地調整塗材、合成樹脂エマルションパテ、研磨紙、左官、塗装工とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,- RA 68 -,,,,,,,
