表 RA -17- 27 【市】【専】 【改修標仕仕様】押出成形セメント板面の下地調整 (1㎡当たり),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
名 称,,,,,,,摘 要,,単位,,ＲＡ種 (塗替え面),,ＲＢ種 (塗替え面),,ＲＣ種 (塗替え面),,備 考
反応形合成樹脂シーラー,,,,,,,,,,,,,,,,,
および弱溶剤系反応形合,,,,,,,JASS18 M-201,,kg,,0.08,,0.08,,―,,
成樹脂シーラー,,,,,,,,,,,,,,,,,
反応形合成樹脂パテ (2液形ｴﾎﾟｷｼ樹脂ﾊﾟﾃ),,,,,,,JASS18 M-202,,kg,,0.3,,―,,―,,
研 磨 紙,,,,,,,P120～220,,枚,,0.07,,―,,―,,
研 磨 紙,,,,,,,P240～320,,枚,,―,,―,,0.07,,
塗 装 工,,,,,,,,,人,,0.033,,0.013,,0.004,,
そ の 他,,,,,,,,,式,,1,,1,,1,,
(注)1.「その他」の率対象は、反応形合成樹脂エマルションシーラーおよび弱溶剤系反応形合成樹脂シーラー、反応形合成樹脂,,,,,,,,,,,,,,,,,
,,,,パテ、研磨紙、塗装工とする。,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
表 RA -17- 28 【市】,,,,,,,,,,,,,,,,,
,,【改修標仕仕様】せっこうボード面及びその他ボード面の下地調整 (1㎡当たり),,,,,,,,,,,,,,,
名 称,,,,,,摘 要,,単位,,ＲＡ種 (塗替え面),,ＲＢ種 (塗替え面),,ＲＣ種 (塗替え面),,備 考,
合成樹脂エマルションパテ,,,,,,JIS K 5669(一般形),,kg,,0.21,,0.06,,―,,,
研,,,磨,,紙,P120～220,,枚,,0.13,,0.07,,―,,,
研,,,磨,,紙,P240～320,,枚,,―,,―,,0.07,,,
塗,,,装,,工,,,人,,0.028,,0.007,,0.004,,,
そ,,,の,,他,,,式,,1,,1,,1,,,
,(注)1.屋外及び水回りの素地ごしらえは、合成樹脂エマルションパテ ＪＩＳ Ｋ５６６９(一般形)をＪＩＳ Ｋ５６６９(耐,,,,,,,,,,,,,,,,
,,,水形)とする。,,,,,,,,,,,,,,
,,,2.せっこうボード面の素地ごしらえは、合成樹脂エマルションパテをせっこうボード用目地処理材(ジョイントコンパウン,,,,,,,,,,,,,,
,,,ド)とする。,,,,,,,,,,,,,,
,,,3.「その他」の率対象は、合成樹脂エマルションパテ、研磨紙、塗装工とする。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,- RA 69 -,,,,,,,
