表 RA -17- 29 【市】 【改修標仕仕様】けい酸カルシウム板面の下地調整 (1㎡当たり),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
名 称,,,,,摘 要,,単位,,,ＲＡ種 (塗替え面),ＲＢ種 (塗替え面),,,ＲＣ種 (塗替え面),,,備 考,,
反応形合成樹脂シーラー および弱溶剤系反応形,,,,,JASS 18 M-201,,kg,,,0.1,0.1,,,―,,,,,
合成樹脂シーラー 合成樹脂エマルションパテ,,,,,JIS K 5669(一般形),,kg,,,0.21,0.06,,,―,,,,,
研 磨 紙,,,,,P120～220,,枚,,,0.13,0.07,,,―,,,,,
研 磨 紙,,,,,P240～320,,枚,,,―,―,,,0.07,,,,,
塗  装   工 そ  の   他,,,,,,,人 式,,,0.0391,0.0181,,,0.0041,,,,,
,(注)1.屋外及び水回りの素地ごしらえは、合成樹脂エマルションパテ ＪＩＳ Ｋ５６６９(一般形)をＪＩＳ Ｋ５６６９,,,,,,,,,,,,,,,,,,
,(耐水形)とする。,,,,,,,,,,,,,,,,,,
,,,2.「その他」の率対象は、反応形合成樹脂エマルションシーラーおよび弱溶剤系反応形合成樹脂シーラー、合成樹脂エマル,,,,,,,,,,,,,,,,
,,,ションパテ、研磨紙、塗装工とする。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
表 RA -17- 30 【市】,,,,,,,,,,,,,,,,,,,
,,【改修標仕仕様】鉄鋼面錆止め塗料塗り(５節) (1㎡当たり),,,,,,,,,,,,,,,,,
,,,,,,,,Ｃ 種,,,,Ａ 種,,,Ｂ 種,,,Ａ､Ｂ種,
名 称,,,,摘 要,,単位,,現場2回塗り,,,,現場1回塗り,,,現場1回塗り,,,工場1回塗り,
,,,,,,,,(塗替え面),,,,(新規面),,,(新規面),,,(新規面),
鉛・クロムフリーさび止めペイント,,,,JIS K 5674 1種,,kg,,0.15,,,,0.1,,,0.1,,,0.1,
研 磨 紙,,,,P120～220,,枚,,0.13,,,,0.13,,,―,,,―,
塗 装 工,,,,,,人,,0.027,,,,0.019,,,0.017,,,0.01,
そ の 他,,,,,,式,,1,,,,1,,,1,,,1,
(注)1.公共建築改修工事標準仕様書５節合成樹脂調合ペイント塗りの場合に適用する。,,,,,,,,,,,,,,,,,,,
,,,2.「その他」の率対象は、鉛・クロムフリーさび止めペイント、研磨紙、塗装工とする。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
表 RA -17- 31 【市】,,,,,,,,,,,,,,,,,,,
,,【改修標仕仕様】鉄鋼面錆止め塗料塗り(９節) (1㎡当たり),,,,,,,,,,,,,,,,,
,,,,,,,,Ｃ 種,,,,,Ａ 種,,,Ｂ 種,,,Ａ､Ｂ種
名 称,,,,摘 要,,単位,,現場2回塗り,,,,,現場1回塗り,,,現場1回塗り,,,工場1回塗り
,,,,,,,,(塗替え面),,,,,(新規面),,,(新規面),,,(新規面)
鉛・クロムフリーさび止めペイント,,,,JIS K 5674 2種,,kg,,0.17,,,,,0.11,,,0.11,,,0.11
研 磨 紙,,,,P120～220,,枚,,0.13,,,,,0.13,,,―,,,―
塗 装 工,,,,,,人,,0.027,,,,,0.019,,,0.017,,,0.01
そ の 他,,,,,,式,,1,,,,,1,,,1,,,1
(注)1.公共建築改修工事標準仕様書９節つや有合成樹脂エマルションペイント塗りの場合に適用する。,,,,,,,,,,,,,,,,,,,
2. 塗料の種別は鉛・クロムフリーさび止めペイント2種とする。,,,,,,,,,,,,,,,,,,,
3.「その他」の率対象は、鉛・クロムフリーさび止めペイント、研磨紙、塗装工とする。,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,- RA 70 -,,,,,,,,,,
