表 RA -17- 32 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,【改修標仕仕様】合成樹脂調合ペイント塗り(ＳＯＰ) (1㎡当たり),,,,,,,,,,
名 称,,摘 要,,単位,,木 部,,,,,
,,,,,,Ｂ 種 (塗替え面),Ｃ 種 (塗替え面),Ａ 種 (新規面),Ｂ 種 (新規面),備 考,
木部下塗り用調合ペイント,,JASS 18 M-304,,kg,,0.09,―,0.18,0.09,合成樹脂,
合成樹脂調合ペイント,,JIS K 5516,,kg,,0.17,0.08,0.17,0.17,,
合成樹脂エマルションパテ,,JIS K5669(耐水形),,kg,,0.03,―,―,0.03,,
研 磨 紙,,P120～220,,枚,,0.07,―,―,0.07,,
塗 装 工,,,,人,,0.059,0.021,0.073,0.059,,
そ の 他,,,,式,,1,1,1,1,,
(注)1.「その他」の率対象は、木部下塗り用調合ペイント、合成樹脂調合ペイント、合成樹脂エマルションパテ、研磨紙、塗,,,,,,,,,,,
装工とする。,,,,,,,,,,,
表 RA -17- 33 【市】,,,,,,,,,,,
,【改修標仕仕様】合成樹脂調合ペイント塗り(ＳＯＰ) (1㎡当たり),,,,,,,,,,
名 称,,摘 要,,単位,,鉄鋼面,,,,,
,,,,,,Ａ 種 (塗替え面),Ｂ 種 (塗替え面),Ｃ 種 (塗替え面),Ａ 種 (新規面),Ｂ 種 (新規面),備考
合成樹脂調合ペイント,,JIS K 5516,,kg,,0.26,0.17,0.08,0.26,0.17,
不飽和ポリエステルパテ,,JASS 18 M-110,,kg,,0.08,0.08,―,―,―,
研 磨 紙,,P220～240,,枚,,0.13,―,―,0.07,―,
塗 装 工,,,,人,,0.063,0.042,0.021,0.056,0.038,
そ の 他,,,,式,,1,1,1,1,1,
(注)1.「その他」の率対象は、合成樹脂調合ペイント、不飽和ポリエステルパテ、研磨紙、塗装工とする。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,- RA 71 -,,,,,,
