表 RA -17- 34 【市】【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,【改修標仕仕様】合成樹脂エマルションペイント塗り(ＥＰ) (1㎡当たり),,,,,,,,,,,,,,,,,,,,,,,,,
名 称,,,,,摘,,要,単位,,,Ａ,,種,,,Ｂ,,,種,,Ｃ,,種,,,備考,
,,,,,,,,,,,一 般,,見上げ,,,一 般,,,見上げ,,一 般,,見上げ,,,,
合成樹脂エマルションシーラー,,,,,JIS K 5663,,,kg,,,0.07,,0.07,,,0.07,,,0.07,,0.07,,0.07,,,,
合成樹脂エマルションペイント,,,,,JIS K 5663,,1種,kg,,,0.3,,0.3,,,0.2,,,0.2,,0.2,,0.2,,,,
研 磨 紙,,,,,P220～240,,,枚,,,0.07,,―,,,―,,,―,,―,,―,,,,
塗 装 工,,,,,,,,人,,,0.054,,0.06,,,0.04,,,0.046,,0.04,,0.046,,,,
そ の 他,,,,,,,,式,,,1,,1,,,1,,,1,,1,,1,,,,
,(注)1.Ｂ種及びＣ種で塗替えの場合、合成樹脂エマルションシーラーをしみ止めシーラーとする。,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.「その他」の率対象は、合成樹脂エマルションシーラー、合成樹脂エマルションペイント、研磨紙、塗装工とする。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
表 RA -17- 35 【市】【専】,,,,,,,,,,,,,,,,,,,,,,,,,,,
【改修標仕仕様】つや有合成樹脂ｴﾏﾙｼｮﾝﾍﾟｲﾝﾄ塗り(ＥＰ－Ｇ) (1㎡当たり),,,,,,,,,,,,,,,,,,,,,,,,,,,
名 称,,,,,,摘 要,,,単位,,,Ａ,,種,,,Ｂ,,,種,,Ｃ,,種,,,備考
,,,,,,,,,,,,一 般,,見上げ,,,一 般,,,見上げ,,一 般,,見上げ,,,
合成樹脂エマルションシーラー,,,,,,JIS K 5663,,,kg,,,0.07,,0.07,,,0.07,,,0.07,,0.07,,0.07,,,
つや有合成樹脂 エマルションペイント,,,,,,JIS K 5660,,,kg,,,0.3,,0.3,,,0.2,,,0.2,,0.2,,0.2,,,
研 磨 紙,,,,,,P220～240,,,枚,,,0.25,,―,,,―,,,―,,―,,―,,,
塗 装 工,,,,,,,,,人,,,0.058,,0.06,,,0.04,,,0.046,,0.04,,0.046,,,
そ の 他,,,,,,,,,式,,,1,,1,,,1,,,1,,1,,1,,,
,(注)1.Ｂ種及びＣ種で塗替えの場合、合成樹脂エマルションシーラーをしみ止めシーラーとする。,,,,,,,,,,,,,,,,,,,,,,,,,,
2.「その他」の率対象は、合成樹脂エマルションシーラー、つや有合成樹脂エマルションペイント、研磨紙、塗装工とす,,,,,,,,,,,,,,,,,,,,,,,,,,,
,る。,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
表 RA -17- 36 【市】,,,,,,,,,,,,,,,,,,,,,,,,,,,
【改修標仕仕様】木部つや有合成樹脂ｴﾏﾙｼｮﾝﾍﾟｲﾝﾄ塗り(ＥＰ－Ｇ) (1㎡当たり),,,,,,,,,,,,,,,,,,,,,,,,,,,
名 称,,,,,,摘 要,,,単位,,,Ａ 種,,,Ｂ 種,,,Ｃ 種,,,備,,,,考,,
合成樹脂エマルションシーラー,,,,,,JIS K 5663,,,kg,,,0.07,,,0.07,,,0.07,,,,,,,,,
つや有合成樹脂 エマルションペイント,,,,,,JIS K 5660,,,kg,,,0.2,,,0.1,,,0.1,,,,,,,,,
合成樹脂ｴﾏﾙｼｮﾝﾊﾟﾃ,,,,,,JIS K 5669 (耐水形)(薄付け用),,,kg,,,0.03,,,―,,,―,,,,,,,,,
研 磨 紙,,,,,,P120～220,,,枚,,,0.07,,,0.07,,,―,,,,,,,,,
塗 装 工,,,,,,,,,人,,,0.046,,,0.031,,,0.029,,,,,,,,,
そ の 他,,,,,,,,,式,,,1,,,1,,,1,,,,,,,,,
(注)1.「その他」の率対象は、合成樹脂エマルションシーラー、つや有合成樹脂エマルションペイント、合成樹脂エマルション,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,パテ、研磨紙、塗装工とする。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,- RA 72 -,,,,,,,,,,,,,,,,,
