表 RA -17- 46 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,【改修標仕仕様】ラッカーエナメル塗り(ＬＥ)(糸幅:300mm以下) (1ｍ当たり),,,,,,,,,
名 称,,,摘 要,単位,,Ａ種,,Ｂ種,,備 考
セラックニス類,,,JASS 18 M-308,kg,,0.001,,－,,
合成樹脂エマルションパテ,,,JIS K 5669(耐水形),kg,,0.006,,0.006,,
ラッカー系シーラー,,,JIS K 5533,kg,,0.01,,0.01,,ウッドシーラー
ラッカー系下地塗料,,,JIS K 5535,kg,,0.028,,0.028,,ラッカーサーフェーサー
ニトロセルロースラッカー,,,JIS K 5331,kg,,0.024,,0.016,,ラッカーエナメル
研 磨 紙,,,P120～220,枚,,0.013,,0.013,,
研 磨 紙,,,P220～240,枚,,0.013,,0.013,,
研 磨 紙,,,P320～400,枚,,0.05,,0.05,,
塗 装 工,,,,人,,0.049,,0.042,,
そ の 他,,,,式,,1,,1,,
(注) 1.表は、公共建築改修工事標準仕様書平成28年版の仕様とする。,,,,,,,,,,
2. 木部に適用し、下地調整ＲＡ種を含む。,,,,,,,,,,
3.「その他」の率対象は、セラックニス類、合成樹脂エマルションパテ、ラッカー系シーラー、ラッカー系下地塗料、ニト,,,,,,,,,,
,,ロセルロースラッカー、研磨紙、塗装工とする。,,,,,,,,
,,,,,,,,,,
表 RA -17- 47 【市】,,,,,,,,,,
,【改修標仕仕様】オイルステイン塗り(ＯＳ)(糸幅:300mm以下) (1ｍ当たり),,,,,,,,,
名 称,,,摘 要,単位,,所要量,,,備 考,
オイルステイン,,,,kg,,0.006,,,,
塗装工,,,,人,,0.017,,,,
その他,,,,式,,1,,,,
(注)1. 表は、公共建築工事標準仕様書平成31年版の仕様とする。,,,,,,,,,,
2. 木部に適用し、下地調整を含む。,,,,,,,,,,
3.「その他」の率対象は、オイルステイン、塗装工とする。,,,,,,,,,,
,,,,,,,,,,
,,,,,- RA 76 -,,,,,
