表 RA - 2 - 7 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,根切り 山留め付き総掘り 切梁腹起方式(バックホウ0.45ｍ3・クラムシェル積込)          (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
バックホウ運転,,,0.45ｍ3,日,0.013,,
クラムシェル運転,,,0.6ｍ3,日,0.0063,,
普通作業員,,,,人,0.009,,
そ の 他,,,,式,1,,
(注)１. クラムシェル１台に対しバックホウ２台の編成とする。,,,,,,,
,,,,,,,
,,２.「その他」の率対象は、普通作業員とする。,,,,,
,,,,,,,
表 RA - 2 - 8 【設】【専】,,,,,,,
,根切り 山留め付き総掘り グランドアンカー方式(バックホウ1.4ｍ3)             (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
バックホウ運転,,,1.4ｍ3,日,0.0039,,
普通作業員,,,,人,0.007,,
そ の 他,,,,式,1,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,,
,,,,,,,
表 RA - 2 - 9 【設】【専】,,,,,,,
,根切り 山留め付き総掘り グランドアンカー方式(バックホウ0.8ｍ3)             (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
バックホウ運転,,,0.8ｍ3,日,0.0063,,
普通作業員,,,,人,0.007,,
そ の 他,,,,式,1,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,,
,,,,,,,
表 RA - 2 -10 【市】,,,,,,,
,根切り 山留め付き総掘り グランドアンカー方式(バックホウ0.8ｍ3・クラムシェル積込)        (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
バックホウ運転,,,0.8ｍ3,日,0.0063,,
クラムシェル運転,,,0.6ｍ3,日,0.0067,,
普通作業員,,,,人,0.007,,
そ の 他,,,,式,1,,
(注)１.クラムシェル１台に対しバックホウ１台の編成とする。,,,,,,,
,,,,,,,
,,２「その他」の率対象は、普通作業員とする。,,,,,
,,,,,,,
,,,,,,- RA 5 -,
