表 RA -18- 3 【市】【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,壁せっこうボード張り (1㎡当たり),,,,,,,,,,,,,,,,,,,,,
名 称,,摘 要,単位,,突付け,,目透かし,,,Ｖ目地,,継目処理,,,下地張り,,ラス ボード,,直張り 継目処理,直張り 突付け,直張り 下地張り,備考
せっこうボード,,,㎡,,1.05,,1.05,,,1.05,,1.05,,,1.05,,1.05,,1.05,1.05,1.05,
ジョイントテープ,,,ｍ,,─,,─,,,─,,0.87,,,─,,─,,0.87,─,─,
ジョイントコンパウンド,,,kg,,─,,─,,,─,,0.3,,,─,,─,,0.3,─,─,
くぎ,,ボードくぎ,kg,,0.025,,0.025,,,0.025,,0.025,,,0.025,,0.025,,─,─,─,
接着剤,,直張り用,kg,,─,,─,,,─,,─,,,─,,─,,3.2,3.2,3.2,
内装工,,,人,,0.05,,0.055,,,0.05,,0.07,,,0.04,,0.04,,0.09,0.07,0.06,
その他,,,式,,1,,1,,,1,,1,,,1,,1,,1,1,1,
(注)1. 直張りは、コンクリート等の下地に適用し、その他は、軽量鉄骨下地、木造下地及び下地張りボード面等に,,,,,,,,,,,,,,,,,,,,,,
適用する。,,,,,,,,,,,,,,,,,,,,,,
2.「その他」の率対象は、せっこうボード、ジョイントテープ、ジョイントコンパウンド、くぎ、接着剤、内装,,,,,,,,,,,,,,,,,,,,,,
工とする。,,,,,,,,,,,,,,,,,,,,,,
表 RA -18- 4 【市】【専】,,,,,,,,,,,,,,,,,,,,,,
,天井せっこうボード張り (1㎡当たり),,,,,,,,,,,,,,,,,,,,,
名 称,,摘 要,,単位,,突付け,,,目透かし,,継目処理,,,下地張り,,化 粧 ボード,,備,,,考,
せっこうボード,,,,㎡,,1.05,,,1.05,,1.05,,,1.05,,─,,,,,,
化粧せっこうボード,,,,㎡,,─,,,─,,─,,,─,,1.05,,,,,,
ジョイントテープ,,,,ｍ,,─,,,─,,0.87,,,─,,─,,,,,,
ジョイントコンパウンド,,,,kg,,─,,,─,,0.3,,,─,,─,,,,,,
く ぎ,,ボードくぎ,,kg,,0.025,,,0.025,,0.025,,,0.025,,0.04,,,,,,
内 装 工,,,,人,,0.05,,,0.055,,0.072,,,0.04,,0.055,,,,,,
そ の 他,,,,式,,1,,,1,,1,,,1,,1,,,,,,
(注)1.軽量鉄骨下地、木造下地及び下地張りボード面等に適用する。,,,,,,,,,,,,,,,,,,,,,,
2.照明器具が天井に埋め込まれる場合のボード切込みは、別途計上する。,,,,,,,,,,,,,,,,,,,,,,
3.「その他」の率対象は、せっこうボード、化粧せっこうボード、ジョイントテープ、ジョイントコンパウンド、,,,,,,,,,,,,,,,,,,,,,,
くぎ、内装工とする。,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,- RA 78 -,,,,,,,,,,,,,,
