表 RA -18- 5 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,けい酸カルシウム板張り (1㎡当たり),,,,,,,,,,,,,,,,,,,,,,,
名 称,,摘 要,,単位,,,壁,,,,,,,,,天井,,,,,,,備考,
,,,,,,,突付け,,,,目透かし,,,下地張り,,突付け,,,目透かし,,下地張り,,,
けい酸カルシウム板,,,,㎡,,,1.05,,,,1.05,,,1.05,,1.05,,,1.05,,1.05,,,
くぎ,,ボードくぎ,,kg,,,0.025,,,,0.025,,,0.025,,─,,,─,,─,,,
小ねじ,,,,kg,,,─,,,,─,,,─,,0.03,,,0.03,,0.03,,,
内装工,,,,人,,,0.06,,,,0.07,,,0.055,,0.06,,,0.07,,0.055,,,
その他,,,,式,,,1,,,,1,,,1,,1,,,1,,1,,,
(注)1.軽量鉄骨下地、木造下地及び下地張りボード面等に適用する。,,,,,,,,,,,,,,,,,,,,,,,,
2.照明器具が天井に埋め込まれる場合のボード切込みは、別途計上する。,,,,,,,,,,,,,,,,,,,,,,,,
3.「その他」の率対象は、けい酸カルシウム板、くぎ、小ねじ、内装工とする。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表 RA -18- 6 【市】,,,,,,,,,,,,,,,,,,,,,,,,
,天井ロックウール吸音板張り (1㎡当たり),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,フラット,,,,,,フラット,,,,凹凸模様,,,,,,
名 称,,摘 要,,,単位,,,,,,,,,,,,,,,,,備 考,,
,,,,,,,,軽鉄直張り,,,,,,下地張り共,,,,下地張り共,,,,,,
ロックウール吸音板,,フラット,,,㎡,,,1.05,,,,,,1.05,,,,0.07,,,,,,
ロックウール吸音板,,凹凸模様,,,㎡,,,─,,,,,,─,,,,0.98,,,,,,
せっこうボード,,,,,㎡,,,─,,,,,,1.05,,,,1.05,,,,,,
くぎ,,特殊,,,kg,,,0.07,,,,,,─,,,,─,,,,,,
ステープル,,,,,kg,,,─,,,,,,0.02,,,,0.02,,,,,,
接着剤,,ボード用,,,kg,,,─,,,,,,0.22,,,,0.22,,,,,,
内装工,,,,,人,,,0.06,,,,,,0.075,,,,0.12,,,,,,
その他,,,,,式,,,1,,,,,,1,,,,1,,,,,,
(注)1.軽量鉄骨下地、木造下地等に適用する。,,,,,,,,,,,,,,,,,,,,,,,,
2.照明器具が天井に埋め込まれる場合のボード切込みは、別途計上する。,,,,,,,,,,,,,,,,,,,,,,,,
3.ロックウール吸音板のボード寸法は、軽鉄直張りは455×910mm、その他は300×600mm程度に適用する。,,,,,,,,,,,,,,,,,,,,,,,,
4.「その他」の率対象は、ロックウール吸音板、せっこうボード、くぎ、ステープル、接着剤、内装工とする。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表 RA -18- 7 【市】【専】,,,,,,,,,,,,,,,,,,,,,,,,
天井ボード切込み (1か所当たり),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,１５０角,,,３００角,,,４５０角,６５０角,,９００角,,１３００角,,３００×,３００×,,３００×,,
名 称,,摘 要,単位,,,１５０φ,,,３００φ,,,４５０φ,６５０φ,,９００φ,,１３００φ,,１３００,２５００,,３７００,,備考
,,,,,,以下,,,以下,,,以下,以下,,以下,,以下,,以下,以下,,以下,,
内装工,,,人,,,0.013,,,0.015,,,0.019,0.023,,0.028,,0.036,,0.026,0.038,,0.05,,
その他,,,式,,,1,,,1,,,1,1,,1,,1,,1,1,,1,,
(注)1.「その他」の率対象は、内装工とする。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,- RA 79 -,,,,,,,,,,,,,,
