１８.【第 20 節 排水】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
１ 一般事項,,,,,,,,
本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,
２ 参考歩掛り,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,
イ.縁石及びＬ形側溝に適用する。,,,,,,,,
ロ.(標詳○-○-○)は、建築工事標準詳細図(国土交通省大臣官房官庁営繕部整備課,,,,,,,,
監修)の番号を示す。,,,,,,,,
,,,,,,,,
(２)細目工種 表 RA -20- 1 【設】,,,,,,,,
,縁石 (1ｍ当たり),,,,,,,
,,,,,縁 石,,縁 石,
名 称,,摘 要,,単位,W100×H100,,W150×H150,備 考
,,,,,(標詳9-11-5),,(標詳9-11-6),
特殊作業員,,,,人,0.06,,0.07,
普通作業員,,,,人,0.04,,0.05,
普通コンクリート,,18N S=15,,ｍ3,0.02,,0.02,
歩車道ブロック,,100/110×155×600,,個,1.65,,－,ロス1.05
歩車道ブロック,,150/170×200×600,,個,－,,1.65,ロス1.05
根切り,,,,ｍ3,0.16,,0.18,
埋戻し,,,,ｍ3,0.12,,0.12,
建設発生土,,排水敷ならし,,ｍ3,0.04,,0.06,別表RA-20-1-1による
砂利地業,,,,ｍ3,0.02,,0.03,別表RA-20-1-2による
モルタル,,,,ｍ3,0.002,,0.002,別表RA-20-1-3による
型枠,,運搬費共,,㎡,0.2,,0.2,別表RA-20-1-4による
その他,,,,式,1,,1,
(注)1.「その他」の率対象は、特殊作業員、普通作業員、歩車道ブロックとする。,,,,,,,,
,,,,,,,,
,,,,,- RA 80 -,,,
