別表 RA -20- 1 - 1 【設】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,排水敷ならし                               (1ｍ3当たり),,,,,,,,,,,,,,
名 称,,,摘 要,,,,単位,,,所要量,,,,備 考,
普通作業員,,,,,,,人,,,0.23,,,,,
そ の 他,,,,,,,式,,,1,,,,,
(注)1.「その他」の率対象は、普通作業員とする。,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
別表 RA -20- 1 - 2 【設】,,,,,,,,,,,,,,,
,砂利地業                               (1ｍ3当たり),,,,,,,,,,,,,,
名 称,,,摘 要,,単位,,ｸﾗｯｼｬﾗﾝ,,,,,再生ｸﾗｯｼｬﾗﾝ,,,備 考
砂 利,,,,,ｍ3,,1.1,,,,,1.1,,,
普通作業員,,,,,人,,0.2,,,,,0.2,,,
そ の 他,,,,,式,,1,,,,,1,,,
(注)1.「その他」の率対象は、普通作業員とする。,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
別表 RA -20- 1 - 3 【設】,,,,,,,,,,,,,,,
,,モルタル                                  (1ｍ3当たり),,,,,,,,,,,,,
名 称,,,摘 要,単位,,所要量,,,,,備 考,,,,
セ メ ン ト,,,,㎏,,670,,,,,,,,,
細 骨 材,,,砂,ｍ3,,1.11,,,,,,,,,
普通作業員,,,,人,,1.2,,,,,,,,,
そ の 他,,,,式,,1,,,,,,,,,
(注)1.「その他」の率対象は、普通作業員とする。,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
別表 RA -20- 1 - 4 【設】,,,,,,,,,,,,,,,
,型枠(運搬費共) (1㎡当たり),,,,,,,,,,,,,,
名 称,,,摘 要,,,,,,単位,,所要量,,備 考,,
合 板,,,"型枠用厚12mm 900×1,800mm",,,,,,㎡,,1.25,,27％,,
さ ん 材,,,,,,,,,ｍ3,,0.007,,36％,,
角 材,,,,,,,,,ｍ3,,0.02,,20％,,
鉄 線,,,,,,,,,㎏,,0.09,,,,
く ぎ 金 物,,,,,,,,,㎏,,0.04,,,,
は く 離 剤,,,,,,,,,Ｌ,,0.02,,,,
型 わ く 工,,,,,,,,,人,,0.07,,,,
普通作業員,,,,,,,,,人,,0.04,,,,
トラック運転,,,4t積,,,,,,日,,0.0101,,別表RA-20-1-5による,,
そ の 他,,,,,,,,,式,,1,,,,
(注)1.備考欄の数値は、１現場当たり損料率を示す。,,,,,,,,,,,,,,,
2.コンクリート打設時の型枠点検及び保守を含む。,,,,,,,,,,,,,,,
3. 型枠材運搬費を含む。,,,,,,,,,,,,,,,
4.「その他」の率対象は、合板、さん材、角材、鉄線、くぎ金物、はく離剤、型わく工、普通作業員とする。,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,- RA 81 -,,,,,,,
