別表 RA -20- 1 - 5 【設】 トラック運転 (1日当たり),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
名 称,,摘 要,,,単位,,4t積,,,備 考,
運転手(一般),,,,,人,,1,,,,
燃 料,,軽油,,,Ｌ,,25.7,,,,
機 械 損 料,,,,,供用日,,1.13,,,,
そ の 他,,,,,式,,1,,,,
(注)1.「その他」の率対象は、運転手(一般)、燃料とする。,,,,,,,,,,,
,,,,,,,,,,,
表 RA -20- 2 【設】,,,,,,,,,,,
,Ｌ形側溝 (1ｍ当たり),,,,,,,,,,
,,,,,Ｌ形側溝,,,,Ｌ形側溝,,
名 称,,,摘 要,単位,W=350,,,,W=450,,備 考
,,,,,(標詳9-11-1),,,,(標詳9-11-2),,
特殊作業員,,,,人,0.08,,,,0.08,,
普通作業員,,,,人,0.05,,,,0.05,,
Ｌ形側溝,,,250Ａ,個,1.65,,,,－,,ロス1.05
Ｌ形側溝,,,250Ｂ,個,－,,,,1.65,,ロス1.05
根切り,,,,ｍ3,0.17,,,,0.19,,
埋戻し,,,,ｍ3,0.09,,,,0.09,,
建設発生土,,,排水敷ならし,ｍ3,0.08,,,,0.1,,別表RA-20-1-1による
砂利地業,,,,ｍ3,0.04,,,,0.05,,別表RA-20-1-2による
モルタル,,,,ｍ3,0.01,,,,0.01,,別表RA-20-1-3による
その他,,,,式,1,,,,1,,
(注)1.「その他」の率対象は、特殊作業員、普通作業員、Ｌ形側溝とする。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,- RA 82 -,,,,,
