１９.【第 21 節 構内舗装】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
１ 一般事項,,,,,,,,,,,
本節に定める参考歩掛りにおける仕様は、公共建築工事標準仕様書による。,,,,,,,,,,,
２ 参考歩掛り,,,,,,,,,,,
(１)適用条件及び留意事項,,,,,,,,,,,
イ.構内のアスファルト舗装に適用する。,,,,,,,,,,,
"ロ.舗装面積は、2,500㎡未満とする。",,,,,,,,,,,
ハ.材料費は、表RA-21-1の材料使用量により別途計上する。,,,,,,,,,,,
,,,,,,,,,,,
(２)細目工種 表 RA -21- 1 【設】,,,,,,,,,,,
タックコート,,,,,,,,,,,(Ｌ/100㎡)
名 称,,,摘 要,,車道部,,,備,,,考
タックコート,,,ＰＫ-4,,40.8,,,,,,
表 RA -21-2【設】 タックコート散布,,,,,,,,,,,(100㎡当たり)
名 称,摘 要,,,単位,,タックコート,,,備 考,,
ｱｽﾌｧﾙﾄｽﾌﾟﾚﾔ運転,25L/min,,,日,,0.01,,,,,
特殊作業員,,,,人,,0.02,,,,,
普通作業員,,,,人,,0.01,,,,,
その他,,,,式,,1,,,,,
(注)1.「その他」の率対象は、特殊作業員及び普通作業員とする。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,- RA 83 -,,,,
