表 RA - 2 -11 【設】【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,根切り 山留め付き総掘り グランドアンカー方式(バックホウ0.45ｍ3・クラムシェル積込)        (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
バックホウ運転,,,0.45ｍ3,日,0.011,,
クラムシェル運転,,,0.6ｍ3,日,0.0056,,
普通作業員,,,,人,0.007,,
そ の 他,,,,式,1,,
(注)１.クラムシェル１台に対しバックホウ２台の編成とする。,,,,,,,
,,,,,,,
,,２「その他」の率対象は、普通作業員とする。,,,,,
,,,,,,,
表 RA - 2 -12 【設】【専】,,,,,,,
根切り 法付き総掘り(バックホウ1.4ｍ3)                        (1ｍ3当たり),,,,,,,
名 称,,,摘 要,単位,所要量,,備 考
バックホウ運転,,,1.4ｍ3,日,0.0039,,
,,,,,,,
表 RA - 2 -13 【設】【専】,,,,,,,
根切り 法付き総掘り(バックホウ0.8ｍ3)                        (1ｍ3当たり),,,,,,,
名 称,,,摘 要,単位,所要量,,備 考
バックホウ運転,,,0.8ｍ3,日,0.0063,,
,,,,,,,
表 RA - 2 -14【市】,,,,,,,
,根切り 小規模土工(バックホウ0.28ｍ3)                         (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
バックホウ運転,,,0.28ｍ3,日,0.025,,
普通作業員,,,,人,0.03,,
そ の 他,,,,式,1,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,,
,,,,,,,
表 RA - 2 -15 【設】【専】,,,,,,,
,根切り 小規模土工(バックホウ0.13ｍ3)                         (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
バックホウ運転,,,0.13ｍ3,日,0.05,,
普通作業員,,,,人,0.03,,
そ の 他,,,,式,1,,
(注)１.「その他」の率対象は、普通作業員とする。,,,,,,,
,,,,,,,
,,,,,,- RA 6 -,
