(２)細目工種 表 RA -22- 1 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,上部躯体とりこわし (延べ面積1㎡当たり),,,,,,,,,,,,
名 称,,,,,摘 要,,,単位,,所要量,,,備 考
ﾍﾞｰｽﾏｼﾝ運転,,,,,ﾊﾞｯｸﾎｳ0.8ｍ3,,,日,,0.0345,,,
ｺﾝｸﾘｰﾄ圧砕機,,,,,圧砕力549～981kN,,,日,,0.0345,,,
普 通 作 業 員,,,,,,,,人,,0.0345,,,
そ の 他,,,,,,,,式,,1,,,
(注)1. 「その他」の率対象は、普通作業員とする。,,,,,,,,,,,,,
2. 上部躯体とりこわしは、以下の算定式を用いて、当該建物固有の歩掛りを算出する。,,,,,,,,,,,,,
,,上部躯体とりこわし = 所要量 × 補正係数 ＋ 加算値 ※算定結果の有効数値は、小数点以下第５位を四捨五入し第４位止めとする。,,,,,,,,,,,
,,,所要量 ：基本となる稼働時間 補正係数：１階の床面積の規模による補正係数,,,,,,,,,,
,,,１階の床面積,,,,２階以下,,３階以上,,,,
,,,300㎡ 未満,,,,1,,1,,,,
,,,300～750㎡ 未満,,,,1,,1.05,,,,
,,,750㎡ 以上,,,,1.05,,1.1,,,,
,,,加算値 ：延べ面積(１㎡)当たり壁長による加算値,,,,,,,,,,
,,,延べ面積(１㎡)当たり壁長※1,,,,,,加算値,,,,
,,,0.05 未満,,,,,,0,,,,
,,,0.05～0.07 未満,,,,,,0.001,,,,
,,,0.07～0.13 未満,,,,,,0.002,,,,
,,,0.13～0.19 未満,,,,,,0.003,,,,
,,,0.19 以上,,,,,,0.004,,,,
,,,,※１ 延べ面積(１㎡)当たり壁長の算定,,,,,,,,,
延べ面積(１㎡)当たり壁長 = 内壁長さ ÷ 延べ面積,,,,,,,,,,,,,
内壁長さ：鉄筋コンクリート造の内壁長さ(開口部を含む),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,- RA 87 -,,,,
