表 RA -22- 2 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,基礎部躯体とりこわし (建築面積1㎡当たり),,,,,,,,,,,,,,,,,,,,,,
名 称,,,,,,,摘 要,,,単位,,,所要量,,,備 考,,,,,,,
ﾍﾞｰｽﾏｼﾝ運転,,,,,,,ﾊﾞｯｸﾎｳ0.8ｍ3,,,日,,,0.0375,,,,,,,,,,
ｺﾝｸﾘｰﾄ圧砕機,,,,,,,圧砕力549～981kN,,,日,,,0.0375,,,,,,,,,,
普 通 作 業 員,,,,,,,,,,人,,,0.0375,,,,,,,,,,
そ の 他,,,,,,,,,,式,,,1,,,,,,,,,,
(注)1. 「その他」の率対象は、普通作業員とする。,,,,,,,,,,,,,,,,,,,,,,,
2. 基礎部躯体とりこわしは、以下の算定式を用いて、当該建物固有の歩掛りを算出する。,,,,,,,,,,,,,,,,,,,,,,,
,,基礎部躯体とりこわし = 所要量 × 補正係数 ※算定結果の有効数値は、小数点以下第５位を四捨五入し第４位止めとする。,,,,,,,,,,,,,,,,,,,,,
,,,,所要量 ：基本となる稼働時間 補正係数：１階の柱１本当たりの面積による補正係数,,,,,,,,,,,,,,,,,,,
,,,,※1 １階の柱１本当たりの面積,,,,,2階以下,,,3階以上,,※1 １階の柱１本当たりの面積,,,,,,2階以下,,,3階以上
,,,,15㎡ 未満,,,,,0.736,,,1.193,,24～27㎡ 未満,,,,,,1.089,,,1.364
,,,,15～18㎡ 未満,,,,,0.824,,,1.236,,27～30㎡ 未満,,,,,,1.177,,,1.406
,,,,18～21㎡ 未満,,,,,0.912,,,1.278,,30～33㎡ 未満,,,,,,1.265,,,1.448
,,,,21～24㎡ 未満,,,,,1,,,1.32,,33㎡ 以上,,,,,,1.353,,,1.49
,,,※１ １階の柱１本当たりの面積の算定,,,,,,,,,,,,,,,,,,,,
,,,１階の柱１本当たりの面積 = ( 床面積 ÷ 柱本数 )÷ 面積補正係数,,,,,,,,,,,,,,,,,,,,
,,,床面積：地中梁で囲まれた面積,,,,,,,,,,,,,,,,,,,,
,,,柱本数：地中梁で囲まれた面積内にある1階の柱本数,,,,,,,,,,,,,,,,,,,,
,,,面積補正係数※２                          (上段の数字はＸスパン数),,,,,,,,,,,,,,,,,,,,
,,,,Yｽﾊﾟﾝ数,,1.0,,2.0,3,,,4,,5,,,6.0,7.0,,8,,Ｙ係数,
,,,,1,,0.4367,,0.5822,0.665,,,0.6987,,0.7278,,,0.7486,0.7642,,0.7763,,2.29,
,,,,2,,0.5848,,0.7797,0.8772,,,0.9357,,0.9747,,,1.0025,1.0234,,1.0396,,1.71,
,,,,3,,0.6579,,0.8772,0.9868,,,1.0526,,1.0965,,,1.1278,1.1513,,1.1696,,1.52,
,,,,4,,0.6993,,0.9324,1.049,,,1.1189,,1.1655,,,1.1988,1.2238,,1.2432,,1.43,
,,,,5,,0.7299,,0.9732,1.0949,,,1.1679,,1.2165,,,1.2513,1.2774,,1.2976,,1.37,
,,,,,(注)1. Ｘスパン数が８を超える場合の面積補正係数は以下の計算式により算出する。,,,,,,,,,,,,,,,,,,
,,,,,2. Ｙスパン数が５を超える場合は、５スパンのＹ係数とする。,,,,,,,,,,,,,,,,,,
,,,,,※２ 面積補正係数の算定,,,,,,,,,,,,,,,,,,
,,,,,面積補正係数 = Ｘスパン数 ÷ ((Ｘスパン数 ÷ ２ ＋ ０.５) × Ｙ係数),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,- RA 88 -,,,,,,,,,,,,
