表 RA -22- 3 【専】 仕上げ等とりこわし (延べ面積1㎡当たり),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
名 称,,,,,摘 要,単位,,所要量,,,備 考
特 殊 作 業 員 そ の 他,,,,,,人 式,,0.1401,,,
(注)1. 「その他」の率対象は、特殊作業員とする。,,,,,,,,,,,
2. 仕上げ等とりこわしは、以下の算定式を用いて、歩掛りを算出する。,,,,,,,,,,,
,,,仕上げ等とりこわし = 所要量 × 補正係数 ＋ 加算値 ※算定結果の有効数値は、小数点以下第４位を四捨五入し第３位止めとする。,,,,,,,,
,,,,所要量 ：基本となる労務工数 補正係数：１階の床面積による補正係数,,,,,,,
,,,,平均床面積※1,,,補正係数,,,,
,,,,400㎡ 未満,,,1,,,,
,,,,400～600㎡ 未満,,,1.006,,,,
,,,,600～800㎡ 未満,,,1.018,,,,
,,,,800～1000㎡ 未満,,,1.03,,,,
,,,,1000㎡ 以上,,,1.042,,,,
,,,,※1 平均床面積の算定,,,,,,,
平均床面積 = 延べ面積 ÷ 建物の階数,,,,,,,,,,,
,,,,加算値 ：建物の階数による加算値,,,,,,,
,,,,建物の階数,,,加算値,,,,
,,,,1～2階,,,0,,,,
,,,,3階,,,0.001,,,,
,,,,4階,,,0.002,,,,
,,3. 仕上げ材類集積積込みを含む。,,,,,,,,,
,,,,,,,,,,,
表 RA -22- 4 【専】,,,,,,,,,,,
コンクリート類集積積込み                     (1ｍ3当たり),,,,,,,,,,,
名 称,,,,,摘 要,単位,,所要量,,,備 考
バックホウ運転,,,,,0.8ｍ3,日,,0.028,,,
,,,,,,,,,,,
表 RA -22- 5 【専】,,,,,,,,,,,
,鉄筋切断                               (1ｍ3当たり),,,,,,,,,,
名 称,,,,,摘 要,単位,,所要量,,,備 考
普 通 作 業 員 そ の 他,,,,,,人 式,,0.031,,,
(注)1. ＳＲＣ造の鉄筋及び鉄骨切断は、別途計上する。,,,,,,,,,,,
,,2.「その他」の率対象は、普通作業員とする。,,,,,,,,,
,,,,,,,,,,,
,,,,,,,- RA 89 -,,,,
