表 RA -22- 6 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,とりこわし機械運転 (1日当たり),,,,,,,,,,,
機械名,,規 格,,適用単価表,,,運転労務 (人),,,燃料(軽油) (L),機械損料 (供用日),備 考
ベースマシン,,バックホウ 排出ガス対策型 油圧式クローラ型0.8ｍ3,,単価表1 (RA-22-6-1),,,1,,,87.5,1.5,
ベースマシン,,バックホウ 排出ガス対策型 油圧式クローラ型0.5ｍ3,,単価表1 (RA-22-6-1),,,1,,,53.6,1.5,
バックホウ,,排出ガス対策型 油圧式クローラ型0.8ｍ3,,単価表1 (RA-22-6-1),,,1,,,87.5,1.5,
ダンプトラック,,10ｔ積級,,単価表2 (RA-22-6-2),,,1,,,58.1,1.29,
ダンプトラック,,4ｔ積級,,単価表2 (RA-22-6-2),,,1,,,32,1.29,
ダンプトラック,,2ｔ積級,,単価表2 (RA-22-6-2),,,1,,,20.8,1.29,
,,,,,,,,,,,,
別表 RA -22- 6 - 1 【専】,,,,,,,,,,,,
,運転1日当たり単価表1 (1日当たり),,,,,,,,,,,
名 称,,,摘 要,単位,,所要量,,,備 考,,,
運転手(特殊) 燃 料 機 械 損 料 そ の 他,,,,人 L 供用日 式,,1,,,表RA-22- 6 による 表RA-22- 6 による 表RA-22- 6 による,,,
(注)1.「その他」の率対象は、運転手(特殊)及び燃料とする。,,,,,,,,,,,,
,,,,,,,,,,,,
別表 RA -22- 6 - 2 【専】,,,,,,,,,,,,
,運転1日当たり単価表2 (1日当たり),,,,,,,,,,,
名 称,,,摘 要,単位,,所要量,,,備 考,,,
運転手(一般) 燃 料 機 械 損 料 タイヤ損粍費 そ の 他,,,,人 L 供用日 供用日 式,,1,,,表RA-22- 6 による 表RA-22- 6 による 表RA-22- 6 による 所要量は機械損料による,,,
(注)1.「その他」の率対象は、運転手(一般)及び燃料とする。,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,- RA 90 -,,,,,,,
