別表 RA -22- 9 - 1 【専】 ダンプトラック運搬日数(Ｄ1),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(100ｍ3当たり),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,積込機械        バックホウ    排出ガス対策型 油圧式クローラ型0.8ｍ3 運搬機種         ダンプトラック  10t積級,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ＤＩＤ区間：無し,,,,,,,,,,,,,,
,運搬距離,,,,,,,0.3,,0.5,1,1.5,,2,,3,,4,5.5,,6.5,7.5,9.5,11.5,,,15.5,22.5,,49.5,60
,(km),,,,,,,以下,,以下,以下,以下,,以下,,以下,,以下,以下,,以下,以下,以下,以下,,,以下,以下,,以下,以下
,運搬日数,,,,,,,0.6,,0.7,0.8,0.9,,1,,1.2,,1.4,1.7,,2,2.3,2.6,3,,,3.6,4.5,,6.1,9.1
,ＤＩＤ区間：有り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,運搬距離,,,,,,,0.3,,0.5,1,1.5,,2,,3,,3.5,5,,6,7,8.5,11,,,14,19.5,,31.5,60
,(km),,,,,,,以下,,以下,以下,以下,,以下,,以下,,以下,以下,,以下,以下,以下,以下,,,以下,以下,,以下,以下
,運搬日数,,,,,,,0.6,,0.7,0.8,0.9,,1,,1.2,,1.4,1.7,,2,2.3,2.6,3,,,3.6,4.5,,6.1,9.1
(注) 1.上記別表は、100ｍ3のとりこわし量を運搬する日数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.運搬距離は片道距離であり、往路と復路が異なる時は、平均値とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.有料道路を利用する場合には、別途考慮する。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.ＤＩＤ(人口集中地区)は、総務省統計局の国勢調査報告資料添付の人口集中地区境界図によるものとする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.運搬距離が60kmを超える場合は、別途積上げとする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
補正係数(ｋ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,名称,,,,,,,無筋コンクリート,,,,,木材類,,,,,,,せっこうボード類,,,,,,,,,,,
,補正係数,,,,,,,1.27,,,,,0.33,,,,,,,0.44,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表 RA -22- 10 【専】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,とりこわし材運搬(小規模、人力積込)             (1ｍ3当たり往復),,,,,,,,,,,,,,,,,,,,,,,,,,,,
名 称,,,,,,,,,摘 要,,,,,,単位,,数量,,,備 考,,,,,,,,,,,
ダンプトラック運転,,,,,,,,,4t積級又は2t積級,,,,,,日,,Ｄ/10,,,運搬日数(Ｄ)は次式による,,,,,,,,,,,
(注)1. 適用機械については小規模は4t積級、人力積込は2t積級を標準とするが、現場状況等によりその使用が困難な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,場合は別途考慮する。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,運搬日数の算定式,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10ｍ3当たり運搬日数(Ｄ)=10ｍ3当たり運搬日数(Ｄ1)×補正係数(ｋ),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,- RA 92 -,,,,,,,,,,,,,
