別表 RA -22-10- 1 ダンプトラック運搬日数(Ｄ１) 【専】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,(10ｍ3当たり)
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,積込機械 バックホウ 排出ガス対策型 油圧式クローラ型0.28ｍ3 運搬機種 ダンプトラック 4t積級,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ＤＩＤ区間：無し,,,,,,,,,,
,運搬距離,,,0.2,,1,1.5,2.5,3.5,4,5,,6,7.5,10,,13,19,35,60,,
,(km),,,以下,,以下,以下,以下,以下,以下,以下,,以下,以下,以下,,以下,以下,以下,以下,,
,運搬日数,,,0.2,,0.25,0.3,0.35,0.4,0.45,0.5,,0.55,0.6,0.8,,0.9,1.1,1.5,2.3,,
,ＤＩＤ区間：有り,,,,,,,,,,,,,,,,,,,,,
,運搬距離,,,0.2,,1,1.5,2,3,3.5,4.5,,5.5,7,9,,12,17,27,60,,
,(km),,,以下,,以下,以下,以下,以下,以下,以下,,以下,以下,以下,,以下,以下,以下,以下,,
,運搬日数,,,0.2,,0.25,0.3,0.35,0.4,0.45,0.5,,0.55,0.6,0.8,,0.9,1.1,1.5,2.3,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
別表 RA -22-10- 2 ダンプトラック運搬日数(Ｄ１) 【専】        (10ｍ3当たり),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
積込機械 バックホウ 排出ガス対策型 油圧式クローラ型0.13ｍ3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
運搬機種 ダンプトラック 2t積級,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ＤＩＤ区間：無し,,,,,,,,,,
,運搬距離,,,0.3,,1,1.5,2.5,3,3.5,4.5,,5.5,7,9,,12,17,28.5,60,,
,(km),,,以下,,以下,以下,以下,以下,以下,以下,,以下,以下,以下,,以下,以下,以下,以下,,
,運搬日数,,,0.45,,0.5,0.6,0.7,0.8,0.9,1,,1.1,1.3,1.5,,1.8,2.3,3,4.5,,
,ＤＩＤ区間：有り,,,,,,,,,,,,,,,,,,,,,
,運搬距離,,,0.3,,1,1.5,2.5,3,3.5,4.5,,5,6.5,8,,11,15,24,60,,
,(km),,,以下,,以下,以下,以下,以下,以下,以下,,以下,以下,以下,,以下,以下,以下,以下,,
,運搬日数,,,0.45,,0.5,0.6,0.7,0.8,0.9,1,,1.1,1.3,1.5,,1.8,2.3,3,4.5,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
別表 RA -22-10- 3 ダンプトラック運搬日数(Ｄ１) 【専】       (10ｍ3当たり),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
積込機械 人力,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
運搬機種 ダンプトラック 2t積級,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ＤＩＤ区間：無し,,,,,,,,,,
,運搬距離,,,0.3,,0.5,1.5,2,2.5,3,4,,5,6.5,8.5,,11,16,27.5,60,,
,(km),,,以下,,以下,以下,以下,以下,以下,以下,,以下,以下,以下,,以下,以下,以下,以下,,
,運搬日数,,,0.5,,0.55,0.6,0.7,0.8,0.9,1,,1.1,1.3,1.5,,1.8,2.3,3,4.5,,
,ＤＩＤ区間：有り,,,,,,,,,,,,,,,,,,,,,
,運搬距離,,,0.3,,0.5,1,1.5,2,2.5,3.5,,4.5,6,8,,10.5,14.5,23,60,,
,(km),,,以下,,以下,以下,以下,以下,以下,以下,,以下,以下,以下,,以下,以下,以下,以下,,
,運搬日数,,,0.5,,0.55,0.6,0.7,0.8,0.9,1,,1.1,1.3,1.5,,1.8,2.3,3,4.5,,
(注)1. 上記別表は、10ｍ3のとりこわし量を運搬する日数である。,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2. 運搬距離は片道距離であり、往路と復路が異なる時は、平均値とする。,,,,,,,,,,,,,,,,,,,,,,
3. 有料道路を利用する場合には、別途考慮する。,,,,,,,,,,,,,,,,,,,,,,
4. ＤＩＤ(人口集中地区)は、総務省統計局の国勢調査報告資料添付の人口集中地区境界図によるものとす,,,,,,,,,,,,,,,,,,,,,,
る。,,,,,,,,,,,,,,,,,,,,,,
5. 運搬距離が60kmを超える場合は、別途積上げとする。,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,- RA 93 -,,,,,,,,,
