(２)細目工種,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
(配管工事),,,,,,,,,,,,
表　RE-1-1 【市】,,,,,,,,,,,,
,,,,,,,,,,,,
　電線管,,,,,,,,,,,,
,,,,,,,,,,,,
細　目,,摘要,単位,材　料,,,,,雑材料,電工 ［人］,その他,備考
,,,,厚鋼 電線管 ［ｍ］,薄鋼 電線管 ［ｍ］,ねじなし 電線管 ［ｍ］,硬質ビニル 電線管 ［ｍ］,附属品,,,,
厚鋼電線管 (G),,1622,ｍ,1.1,,,,１式 電 線 管 価 格 × 0.25,１式 ( 材 料 価 格 × 0.05,0.060 0.080,１式,
,,28,,,,,,,,0.103,,
,,36,,1.05,,,,,,0.124,,
,,42,,,,,,,,0.17,,
,,54,,,,,,,,0.229,,
,,70,,,,,,,,0.266,,
,,8292,,,,,,,,0.323 0.360,,
,,104,,,,,,,,0.402,,
薄鋼電線管 (C),,19,ｍ,,1.1,,,１式 電 線 管 価 格 × 0.25,１式 ( 材 料 価 格 × 0.05,0.052,,
,,25,,,,,,,,0.07,,
,,31,,,,,,,,0.089,,
,,39,,,1.05,,,,,0.109,,
,,51,,,,,,,,0.147,,
,,63,,,,,,,,0.198,,
,,75,,,,,,,,0.231,,
ねじなし 電線管 (E),,19,ｍ,,,1.1,,１式 電 線 管 価 格 × 0.5,１式 ( 材 料 価 格 × 0.05,0.042,,
,,25,,,,,,,,0.056,,
,,31,,,,,,,,0.071,,
,,39,,,,1.05,,,,0.087,,
,,51,,,,,,,,0.118,,
,,63,,,,,,,,0.159,,
,,75,,,,,,,,0.185,,
硬質ビニル 電線管 (VE) ※HIVE含む,,16,ｍ,,,,1.1,１式 電 線 管 価 格 × 0.3,１式 ( 材 料 価 格 × 0.05,0.044,,
,,22,,,,,,,,0.054,,
,,28,,,,,,,,0.064,,
,,36,,,,,1.05,,,0.086,,
,,42,,,,,,,,0.108,,
,,54,,,,,,,,0.13,,
,,70,,,,,,,,0.162,,
,,82,,,,,,,,0.194,,
(注)1.本表の電工の歩掛りは、隠ぺい又はコンクリート打込みの場合の歩掛りである。露出配管 　　　　の場合は、電工の歩掛りを1.2倍し、そのうち、はり巻き配管等の場合で附属品を必要とす 　　　　るときには別途その費用を考慮する必要がある。,,,,,,,,,,,,
　　　2.労務には、管の切断、ねじ切り(硬質ビニル電線管及びねじなし電線管は除く。)、曲げ、　 　　　　支持金具類の取付け、管内の清掃及び導通調べを含み、アウトレットボックスの取付けを 　　　　含まない。 　　　3.雑材料には、支持金具類のうち取付金具を含み、別途計上すべき支持材料は含まない。 　　　4.「その他」の率対象は、電工とする。,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,-RE2-,,,,,,
