表　RE-1-2 【市】,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
　合成樹脂製可とう電線管,,,,,,,,,,,,,,,
細　目,,摘要,,,単位,材　料,,,,,,雑材料,電工 ［人］,その他,備考
,,,,,,合成樹脂製 可とう電線管 ［ｍ］,,,,附属品,,,,,
合成樹脂製 可とう電線管 (PF管、CD管),,1416,,,ｍ,1.1,,,,１式 (電線管価格 ×0.25),,１式 (材料価格 ×0.02),0.028 0.031,１式,
,,2228,,,,,,,,,,,0.041 0.052,,
(注)1.本表の電工の歩掛りは、隠ぺい又はコンクリート打込みの場合の歩掛りであり、露出配管 　　　　の場合は、電工の歩掛りを1.2倍して用いる。 　　　2.「その他」の率対象は、電工とする。 　　　　　　,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
表　RE-1-3 【市】,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
　線ぴ類,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
細　目,,,摘　要,,,,,単位,,材　料,,雑材料,電工 ［人］,その他,備考
,,,,,,,,,,２種金属線ぴ ［ｍ］,,,,,
２種金属線ぴ (ＭＭ２),,,Ａ型　40㎜×30㎜,,,,,ｍ,,1,,１式 (材料価格 ×0.02),0.09,１式,
,,,Ｂ型　40㎜×40㎜,,,,,,,1,,,0.11,,
,,,Ｃ型　40㎜×45㎜,,,,,,,1,,,0.12,,
,,,Ｄ型　45㎜×30㎜,,,,,,,1,,,0.11,,
,,,Ｅ型　45㎜×40㎜,,,,,,,1,,,0.12,,
,,,Ｆ型　45㎜×45㎜,,,,,,,1,,,0.13,,
(注)1.ボックスつり金物等は別途加算計上する。 　　　2.「その他」の率対象は、電工とする。,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
表　RE-1-4 【市】,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
　ケーブルラック,,,,,,,,,,,,,,,
細　目,,,摘　要,,,,単位,,材　料,,,雑材料,電工 ［人］,その他,備考
,,,,,,,,,ケーブルラック ［ｍ］,,,,,,
,,,100㎜幅,,,,,,1,,,,0.13,,
,,,200㎜幅,,,,,,1,,,,0.183,,
,,,300㎜幅,,,,,,1,,,１式,0.243,,
ケーブルラック,,,400㎜幅,,,,ｍ,,1,,,,0.296,１式,
,,,500㎜幅,,,,,,1,,,(材料価格 ×0.02),0.339,,
,,,600㎜幅,,,,,,1,,,,0.365,,
,,,800㎜幅,,,,,,1,,,,0.496,,
,,,1000㎜幅,,,,,,1,,,,0.617,,
(注)1.多段積みの場合には、１段目(最大幅)以外のものは、本表の電工の歩掛りを0.5倍して 　　　　用いる。 　　　2.つり金物等は別途計上する。 　　　3.「その他」の率対象は、電工とする。,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,-RE3-,,,,,
