作業名,摘要,摘要.1,Unnamed:3,Unnamed:4,材,料,Unnamed:7,配管工,Unnamed:9,Unnamed:10
(冷却水)　ハウジング形管継手,,,単位,,,,,配管工,はつり補修,その他
(冷却水)　ハウジング形管継手,施工箇所,呼び径,単位,管［ｍ］,継手,接合材等 支持金物,接合材等 支持金物,［人］,はつり補修,その他
(冷却水)　ハウジング形管継手,,50,,,,,,0.141,,
(冷却水)　ハウジング形管継手,,"65
80",,1.10,"１式
(管単価×",,,"0.177
0.230",,
(冷却水)　ハウジング形管継手,,100,,,1.90),,１式,0.341,１式,
(冷却水)　ハウジング形管継手,屋内一般配管,125,ｍ,,,－,(管単価×,0.403,(労務費×,１式
(冷却水)　ハウジング形管継手,,150,,1.05,,,0.10),0.490,0.08),
(冷却水)　ハウジング形管継手,,200,,1.05,１式,,,0.647,,
(冷却水)　ハウジング形管継手,,250,,,(管単価×,,,0.871,,
(冷却水)　ハウジング形管継手,,300,,,1.20),,,1.049,,
(冷却水)　ハウジング形管継手,,50,,,,,,0.169,,
(冷却水)　ハウジング形管継手,,65,,1.10,１式,,,0.212,,
(冷却水)　ハウジング形管継手,,80,,,１式,,,0.276,,
(冷却水)　ハウジング形管継手,,80,,,(管単価×,,,0.276,,
(冷却水)　ハウジング形管継手,,100,,,3.00),,１式,0.409,１式,
(冷却水)　ハウジング形管継手,機械室・便所配管,125,ｍ,,,－,(管単価×,0.484,(労務費×,１式
(冷却水)　ハウジング形管継手,,150,,1.05,,,0.10),0.588,0.08),
(冷却水)　ハウジング形管継手,,200,,1.05,１式,,,0.776,,
(冷却水)　ハウジング形管継手,,250,,,(管単価×,,,1.045,,
(冷却水)　ハウジング形管継手,,300,,,1.90),,,1.259,,
(冷却水)　ハウジング形管継手,,50,,,,,,0.127,,
(冷却水)　ハウジング形管継手,,65,,,,,,0.159,,
(冷却水)　ハウジング形管継手,,80,,,"１式
(管単価×
1.60)",,,0.207,,
(冷却水)　ハウジング形管継手,屋外配管,100,,,"１式
(管単価×
1.60)",,１式,0.307,,
(冷却水)　ハウジング形管継手,(架空・暗渠内・共同溝内),125,ｍ,1.05,,－,(管単価×,0.363,－,１式
(冷却水)　ハウジング形管継手,,150,,,,,0.10),0.441,,
(冷却水)　ハウジング形管継手,,200,,,１式,,,0.582,,
(冷却水)　ハウジング形管継手,,250,,,(管単価×,,,0.784,,
(冷却水)　ハウジング形管継手,,300,,,1.00),,,0.944,,
