作業名,Unnamed:1,Unnamed:2,材,材.1,料,料.1,"雑
材
料","運
搬
費","保
温
工
［人］"
ム,"呼
び
径","単
位","アルミガラス
クロス化粧
保温筒［ｍ］","アルミガラス
クロス化粧
保温筒［ｍ］","アルミガラス
クロス粘着
テープ［ｍ］","アルミガラス
クロス粘着
テープ［ｍ］","雑
材
料","運
搬
費","保
温
工
［人］"
ム,"呼
び
径","単
位",20厚,25厚,60幅,100幅,"雑
材
料","運
搬
費","保
温
工
［人］"
ム,15,,1.03,－,1.6,－,,,0.039
ム,20,,1.03,－,1.6,－,,,0.042
ム,25,,1.03,－,1.6,－,,,0.043
ム,32,,1.03,－,1.7,－,,,0.044
ム,,,,,,,,１,
ム,40,,1.03,－,1.7,－,,式,0.048
ム,,,,,,,,,
ム,50,,1.03,－,1.8,－,１,材,0.051
ム,,,,,,,式,料,
ム,,,,,,,,費,
ム,65,,1.03,－,1.9,－,材,＋,0.057
ム,,m,,,,,料,雑,
ム,80,,1.03,－,1.9,－,"費
×","材
料",0.062
ム,,,,,,,0.05,費,
ム,100,,－,1.03,2.2,－,,,0.083
ム,,,,,,,,×,
ム,125,,－,1.03,2.3,－,,0.03,0.102
ム,,,,,,,,,
ム,150,,－,1.03,2.5,－,,,0.119
ム,200,,－,1.03,－,2.7,,,0.166
ム,250,,－,1.03,－,3.0,,,0.199
ム,300,,－,1.03,－,3.3,,,0.234
