作業名,材料,材料.1,材料.2,Unnamed:4,Unnamed:5,Unnamed:6,ダ
300,,,,雑,運,保,
300,ロックウール保温筒 合(成ジャ樹ケ脂ッ製トタカイバプー)２,ロックウール保温筒 合(成ジャ樹ケ脂ッ製トタカイバプー)２,ロックウール保温筒 合(成ジャ樹ケ脂ッ製トタカイバプー)２,,,温,ク
300,［ｍ］,,［ｍ］,材,搬,,ト
300,,,,,,工,工
300,20厚 25厚,40厚 20厚用,25厚用40厚用,料,費,［人］,［人］
300,1.05 －,－ 1.05,－－,,,0.040,0.026
300,1.05 －,－ 1.05,－－,,,0.042,0.029
300,1.05 －,－ 1.05,－－,,,0.043,0.030
300,1.05 －,－ 1.05,－－,,,0.045,0.034
300,,,,,１,,
300,1.05 －,－ 1.05,－－,,式,0.048,0.036
300,,,,,,,
300,1.05 －,－ 1.05,－－,１,材,0.052,0.039
300,,,,式,料,,
300,,,,,費,,
300,1.05 －,－ 1.05,－－,材,＋,0.058,0.043
300,,,,料,雑,,
300,1.05 －,－ 1.05,－－,"費
×","材
料",0.064,0.047
300,,,,0.05,費,,
300,－ 1.05,－－,1.05 －,,),0.086,0.059
300,,,,,×,,
300,－ 1.05,－－,1.05 －,,0.03,0.105,0.068
300,,,,,,,
300,－ 1.05,－－,1.05 －,,,0.124,0.075
300,－－,1.05 －,－ 1.05,,,0.186,0.101
300,－－,1.05 －,－ 1.05,,,0.220,0.120
300,－－,1.05 －,－ 1.05,,,0.256,0.136
