作業名,呼単,グラスウール保温筒アルミガラスクロス,グラスウール保温筒アルミガラスクロス.1,グラスウール保温筒アルミガラスクロス.2,グラスウール保温筒アルミガラスクロス.3,Unnamed:6,Unnamed:7,Unnamed:8
中,,［ｍ］,,［ｍ］,,材,搬,温
中,"び
位",,,,,,,工
中,径,20厚 25厚,40厚 75幅,100幅 125幅,150幅,料,費,［人］
中,15,1.05 －,－ 4.3,－－,－,,,0.047
中,20,1.05 －,－ 4.7,－－,－,,,0.049
中,25,1.05 －,－－,3.6 －,－,,,0.053
中,32,1.05 －,－－,4.0 －,－,,,0.056
中,,,,,,,１,
中,40,1.05 －,－－,4.3 －,－,,式,0.061
中,,,,,,,,
中,50,1.05 －,－－,4.9 －,－,１,材,0.068
中,,,,,,式,料,
中,,,,,,,費,
中,65,1.05 －,－－,－ 4.3,－,材,＋,0.073
中,m,,,,,料,雑,
中,80,1.05 －,－－,－ 4.8,－,"費
×","材
料",0.080
中,,,,,,0.05,費,
中,100,－ 1.05,－－,－－,4.9,,),0.108
中,,,,,,,×,
中,125,－ 1.05,－－,－－,5.7,,0.03,0.128
中,,,,,,,,
中,150,－ 1.05,－－,－－,6.4,,,0.146
中,200,－－,1.05 －,－－,8.9,,,0.207
中,250,－－,1.05 －,－－,10.5,,,0.264
中,300,－－,1.05 －,－－,12.0,,,0.325
