作業名,Unnamed:1,Unnamed:2,材,Unnamed:4,料,Unnamed:6,Unnamed:7,Unnamed:8,Unnamed:9,Unnamed:10,Unnamed:11
管,,,,,,,,,雑,運,保
管,呼単,グラスウール保温筒,グラスウール保温筒,ポリエチレンフィルム,ポリエチレンフィルム,アルミガラスクロス,アルミガラスクロス,アルミガラスクロス,,,
管,,,［ｍ］,［ｍ］,,原紙,［ｍ］,,材,搬,温
管,び,,,,,［ｍ２］,,,,,工
管,位,,,,,,,,,,工
管,径,30厚,40厚 50厚 100幅,125幅 150幅,200幅 250幅,100幅,125幅,150幅,料,費,［人］
管,15,1.05,－ － 6.5,－－,－－,0.30 4.0,－,－,,,0.088
管,20,1.05,－ － 6.9,－－,－－,0.32 4.2,－,－,,,0.091
管,25,1.05,－ － 7.4,－－,－－,0.35 4.6,－,－,,,0.098
管,32,－,1.05 － －,7.6 －,－－,0.46 －,4.5,－,,,0.115
管,,,,,,,,,,１,
管,40,－,1.05 － －,8.0 －,－－,0.48 －,4.8,－,,式,0.123
管,,,,,,,,,,,
管,50,－,1.05 － －,8.7 －,－－,0.52 －,5.2,－,１,材,0.136
管,,,,,,,,,式,料,
管,,,,,,,,,,費,
管,65,－,1.05 － －,9.5 －,－－,0.58 －,5.8,－,材,＋,0.147
管,m,,,,,,,,,雑,
管,m,,,,,,,,料,,
管,80,－,1.05 － －,－ 8.6,－－,0.63 －,－,5.0,費,"材
料",0.161
管,,,,,,,,,"×
0.05",費,
管,100,－,1.05 － －,－ 9.8,－－,0.73 －,－,5.8,,×,0.199
管,125,－,1.05 － －,－ 11.0,－－,0.82 －,－,6.6,,0.03,0.233
管,,,,,,,,,,,
管,150,－,1.05 － －,－ 12.2,－－,0.92 －,－,7.3,,,0.263
管,200,－,1.05 － －,－－,11.0 －,1.11 －,－,8.9,,,0.325
管,250,－,－ 1.05 －,－－,13.6 －,1.38 －,－,11.0,,,0.413
管,300,－,－ 1.05 －,－－,－ 12.4,1.57 －,－,12.6,,,0.494
