作業名,"屋内露出(一般
居室、廊下)",50,Unnamed:3,－,20,1.30,－.1,－.2,－.3,－.4,－.5,－.6,－.7,－.8,－.9,－.10,－.11
長,機械室､書庫､,25,,20,6,－,－,1.30,－,－,－,0.85,5.60,－,－,－,－
長,倉庫,50,,－,20,－,－,1.30,－,－,－,2.58,－,3.34,－,－,－
長,"屋内隠ぺい、ダ
クトシャフト内",25,㎡,20,6,－,－,1.30,－,－,－,0.85,5.60,－,－,－,－
長,"屋外露出(バルコ
ニｰ、 開放廊下を含
む。)及び浴室、厨房
等の多湿箇所(厨房の
天井内は含まない。)",50,,－,20,1.30,－,－,－,2.97,－,－,－,－,－,－,－
長,"屋内露出(一般
居室、廊下)",50,,－,－,－,1.45,－,－,－,－,－,－,－,－,－,－
長,機械室､書庫､,25,,－,－,－,－,－,1.45,－,－,4.45,－,－,－,－,－
長,倉庫,50,,－,－,－,－,－,1.45,－,－,4.97,－,－,－,－,－
長,"屋内隠ぺい、ダ
クトシャフト内",25,㎡,－,－,－,－,－,1.45,－,－,4.45,－,－,－,－,－
長,"屋外露出(バルコ
ニｰ、 開放廊下を含
む。)及び浴室、厨房
等の多湿箇所(厨房の
天井内は含まない。)",50,,－,－,－,1.45,－,－,3.29,－,－,－,－,－,－,－
長,サプライチャンバー,50,,－,30,1.05,－,－,－,－,0.30,－,－,－,1.00,1.10,－
長,サプライチャンバー,25,㎡,30,－,1.08,－,－,－,－,0.30,－,－,－,1.00,1.10,－
長,消音チャンバー,50,㎡,－,30,1.05,－,－,－,－,0.30,－,－,－,1.00,－,－
長,消音エルボ,25,,30,－,1.08,－,－,－,－,0.30,－,－,－,1.00,－,－
長,屋内隠ぺい,25,㎡,20,6,－,－,1.30,－,－,－,0.85,5.60,－,－,－,1.56
長,屋内隠ぺい,25,㎡,－,－,－,－,－,1.45,－,－,4.45,－,－,－,－,1.65
