作業名,摘,要,単位,材料,補,補.1,助,助.1
(低圧ダクト),"ダ ク ト
口径
［mm］","板厚
[mm]",単位,"スパイラル
ダクト
［ｍ］","ダクト用
テープ
(50幅)
［ｍ］","タップ
スクリュー
［本］","シール材
［ｇ］","吊り
ボルト用
平鋼
［ｋｇ］"
(低圧ダクト),100,,,,0.63,,12,0.11
(低圧ダクト),125,,,,0.79,4,15,0.14
(低圧ダクト),150,,,,0.88,4,17,0.16
(低圧ダクト),175,,,,1.10,,21,0.18
(低圧ダクト),200,,,,1.26,,23,0.20
(低圧ダクト),225,0.5,,1.1,1.41,6,27,0.22
(低圧ダクト),250,0.5,,1.1,1.57,6,28,0.25
(低圧ダクト),275,,,,1.73,,32,0.26
(低圧ダクト),300,,,,1.88,8,34,0.33
(低圧ダクト),350,,,,2.20,8,40,0.34
(低圧ダクト),400,,,,2.51,10,46,0.38
(低圧ダクト),450,,ｍ,,2.83,10,53,0.43
(低圧ダクト),500,,,,3.14,12,58,0.47
(低圧ダクト),550,,,,3.45,12,75,0.52
(低圧ダクト),600,0.6,,1.1,3.77,14,83,0.56
(低圧ダクト),650,,,,4.08,14,88,0.61
(低圧ダクト),700,,,,4.40,16,95,0.65
(低圧ダクト),750,,,,4.71,16,102,0.70
(低圧ダクト),800,,,,5.02,18,108,0.74
(低圧ダクト),850,0.8,,1.1,5.34,18,115,0.79
(低圧ダクト),900,0.8,,1.1,5.65,20,122,0.82
(低圧ダクト),950,,,,5.97,20,127,0.88
(低圧ダクト),"1,000",,,,6.28,22,135,0.92
