作業名,細目,摘要,単位,材料,ダクト工,その他
ダクト附属品(1/2),細目,摘要,単位,吹出口等［個］,［人］,その他
ダクト附属品(1/2),,0.04 ｍ２ 以下,,,0.33,
ダクト附属品(1/2),,0.06 ｍ２ 以下,,,0.34,
ダクト附属品(1/2),,0.08 ｍ２ 以下,,,0.36,
ダクト附属品(1/2),"吹出口
ユニバーサル形
(ＶＨＳ、ＶＳ、ＶＨ、Ｖ)","0.10 ｍ２ 以下
0.15 ｍ２ 以下",個,1,"0.38
0.40",１式
ダクト附属品(1/2),"吹出口
ユニバーサル形
(ＶＨＳ、ＶＳ、ＶＨ、Ｖ)","0.20 ｍ２ 以下
0.25 ｍ２ 以下",個,1,"0.44
0.48",１式
ダクト附属品(1/2),,0.30 ｍ２ 以下,,,0.54,
ダクト附属品(1/2),,0.35 ｍ２ 以下,,,0.58,
ダクト附属品(1/2),,0.40 ｍ２ 以下,,,0.70,
ダクト附属品(1/2),"吹　　　　　　出　　　　　　口
シーリングディフューザー
(Ｃ２、ＣＡ、ＣＤ、Ｅ２、ＥＡ、ＥＤ)","直径　200 mm 以下
250 ～ 350 mm
400 ～ 500 mm",個,1,"0.39
0.46
0.55",１式
ダクト附属品(1/2),,550 mm 以上,,,0.63,
ダクト附属品(1/2),ノズル形吹出口,,個,1,0.39,１式
ダクト附属品(1/2),"線状吹出口
(ＢＬ-Ｓ、ＢＬ-Ｄ)","長辺　1ｍ 以下
1ｍ を超え、2m 以下",個,1,"0.34
0.52",１式
ダクト附属品(1/2),"線状吹出口
(ＢＬ-Ｓ、ＢＬ-Ｄ)",2ｍ を超え、3m 以下,,,0.70,
ダクト附属品(1/2),,0.1 ｍ２ 以下,,,0.42,
ダクト附属品(1/2),,0.2 ｍ２ 以下,,,0.44,
ダクト附属品(1/2),,0.3 ｍ２ 以下,,,0.46,
ダクト附属品(1/2),,0.4 ｍ２ 以下,,,0.50,
ダクト附属品(1/2),,0.5 ｍ２ 以下,,,0.55,
ダクト附属品(1/2),,0.6 ｍ２ 以下,,,0.60,
ダクト附属品(1/2),,0.7 ｍ２ 以下,,,0.65,
ダクト附属品(1/2),"吸込口
(GV ､ GVS)","0.8 ｍ２ 以下
0.9 ｍ２ 以下",個,1,"0.70
0.75",１式
ダクト附属品(1/2),"吸込口
(GV ､ GVS)",1.0 ｍ２ 以下,,,0.80,
ダクト附属品(1/2),,1.2 ｍ２ 以下,,,0.90,
ダクト附属品(1/2),,1.4 ｍ２ 以下,,,1.00,
ダクト附属品(1/2),,1.6 ｍ２ 以下,,,1.10,
ダクト附属品(1/2),,1.8 ｍ２ 以下,,,1.20,
ダクト附属品(1/2),,2.0 ｍ２ 以下,,,1.30,
ダクト附属品(1/2),,2.2 ｍ２ 以下,,,1.40,
ダクト附属品(1/2),,2.4 ｍ２ 以下,,,1.50,
ダクト附属品(1/2),"排煙口
(手動操作装置を含む)",長辺　0.5 ｍ 未満,,,0.60,
ダクト附属品(1/2),"排煙口
(手動操作装置を含む)",1.0 ｍ 未満,組,1,0.80,１式
ダクト附属品(1/2),"排煙口
(手動操作装置を含む)",1.0 ｍ 以上,,,1.10,
