作業名,細目,摘要,単位,材料,"ダクト工
［人］",その他
ダクト附属品(2/2),細目,摘要,単位,ダンパー等［個］,"ダクト工
［人］",その他
ダクト附属品(2/2),,0.1 ｍ２ 以下,,,0.42,
ダクト附属品(2/2),,0.2 ｍ２ 以下,,,0.44,
ダクト附属品(2/2),,0.3 ｍ２ 以下,,,0.46,
ダクト附属品(2/2),,0.4 ｍ２ 以下,,,0.48,
ダクト附属品(2/2),,0.5 ｍ２ 以下,,,0.50,
ダクト附属品(2/2),,0.6 ｍ２ 以下,,,0.55,
ダクト附属品(2/2),,0.7 ｍ２ 以下,,,0.60,
ダクト附属品(2/2),風量調節ダンパー(ＶＤ),0.8 ｍ２ 以下,,,0.65,
ダクト附属品(2/2),逆流防止ダンパー(ＣＤ),0.9 ｍ２ 以下,個,1,0.70,１式
ダクト附属品(2/2),モーターダンパー(ＭＤ),1.0 ｍ２ 以下,,,0.75,
ダクト附属品(2/2),,1.2 ｍ２ 以下,,,0.80,
ダクト附属品(2/2),,1.4 ｍ２ 以下,,,0.90,
ダクト附属品(2/2),,1.6 ｍ２ 以下,,,1.00,
ダクト附属品(2/2),,1.8 ｍ２ 以下,,,1.10,
ダクト附属品(2/2),,2.0 ｍ２ 以下,,,1.20,
ダクト附属品(2/2),,2.2 ｍ２ 以下,,,1.30,
ダクト附属品(2/2),,2.4 ｍ２ 以下,,,1.40,
ダクト附属品(2/2),,0.1 ｍ２ 以下,,,0.45,
ダクト附属品(2/2),,0.2 ｍ２ 以下,,,0.48,
ダクト附属品(2/2),,0.3 ｍ２ 以下,,,0.50,
ダクト附属品(2/2),,0.4 ｍ２ 以下,,,0.53,
ダクト附属品(2/2),,0.5 ｍ２ 以下,,,0.55,
ダクト附属品(2/2),,0.6 ｍ２ 以下,,,0.60,
ダクト附属品(2/2),防火ダンパー(ＦＤ),0.7 ｍ２ 以下,,,0.65,
ダクト附属品(2/2),防火ダンパー(ＦＤ),0.8 ｍ２ 以下,,,0.70,
ダクト附属品(2/2),防煙ダンパー(ＳＤ),0.8 ｍ２ 以下,,,0.70,
ダクト附属品(2/2),"防火防煙ダンパー(ＳＦＤ)
ピストンダンパー(ＰＤ)
排煙ダンパー(ＳＭＤ)",0.9 ｍ２ 以下,個,1,0.75,１式
ダクト附属品(2/2),"防火防煙ダンパー(ＳＦＤ)
ピストンダンパー(ＰＤ)
排煙ダンパー(ＳＭＤ)",1.0 ｍ２ 以下,,,0.80,
ダクト附属品(2/2),,1.2 ｍ２ 以下,,,0.90,
ダクト附属品(2/2),,1.4 ｍ２ 以下,,,1.00,
ダクト附属品(2/2),,1.6 ｍ２ 以下,,,1.10,
ダクト附属品(2/2),,1.8 ｍ２ 以下,,,1.20,
ダクト附属品(2/2),,2.0 ｍ２ 以下,,,1.30,
ダクト附属品(2/2),,2.2 ｍ２ 以下,,,1.40,
ダクト附属品(2/2),,2.4 ｍ２ 以下,,,1.50,
ダクト附属品(2/2),風量測定口,,個,1,0.23,１式
ダクト附属品(2/2),ベントキャップ,,個,1,0.20,１式
ダクト附属品(2/2),点検口(ダクト用),0.2　ｍ２　未満,か所,1,0.30,１式
ダクト附属品(2/2),点検口(ダクト用),0.2　ｍ２　以上,か所,1,0.32,１式
