作業名,細目,摘要,単位,"材料
温度検出器等
［個］","電工
［人］",調整費,その他,備考
自動制御機器(1/2),温度検出器,室内用,個,1,0.22,材料費×0.1,１式,２位置、比例
自動制御機器(1/2),温度検出器,挿入形(ダクト用),個,1,0.43,材料費×0.1,１式,
自動制御機器(1/2),温度検出器,〃　(配管用),個,1,0.95,材料費×0.1,１式,タッピング共
自動制御機器(1/2),サーモプレート,,個,1,0.40,材料費×0.1,１式,
自動制御機器(1/2),湿度検出器,室内用,個,1,0.22,材料費×0.1,１式,
自動制御機器(1/2),湿度検出器,挿入形(ダクト用),個,1,0.43,材料費×0.1,１式,
自動制御機器(1/2),ダンパ用モータ,,個,1,0.48,材料費×0.1,１式,"ダンパ本体の取付は含まず。
リンケージ、架台取付共"
自動制御機器(1/2),弁モータ,,個,1,0.22,材料費×0.1,１式,"弁本体の取付は含まず。
リンケージ共"
自動制御機器(1/2),"ダンパ・弁用
補助スイッチ",,個,1,0.36,材料費×0.1,１式,
自動制御機器(1/2),ポテンションメーター,,個,1,0.36,材料費×0.1,１式,
自動制御機器(1/2),圧力調節器,電気式,個,1,0.95,材料費×0.1,１式,
自動制御機器(1/2),圧力検出器,電子式・空気式,個,1,0.95,材料費×0.1,１式,
自動制御機器(1/2),油面検出器,,個,1,0.95,材料費×0.1,１式,
自動制御機器(1/2),ＣＯ２発信器,,個,1,1.90,材料費×0.1,１式,
自動制御機器(1/2),工業計器,,台,1［台］,1.90,材料費×0.1,１式,"圧力発信器・差圧発信器
・液面発信器"
自動制御機器(1/2),漏水テープ,,ｍ,1［ｍ］,0.06,材料費×0.1,１式,検知器本体は別途盤内
