作業名,細目,記号,摘要単位,材料,"配管工
［人］",その他
衛生器具(1/2),細目,記号,摘 要 単位,衛生器具［組］,"配管工
［人］",その他
衛生器具(1/2),和風便器,,洗浄弁式,1,1.34,１式
衛生器具(1/2),和風便器,,タンク式(ロータンク) 組,1,1.85,１式
衛生器具(1/2),和風便器,,タンク式(ハイタンク),1,1.94,１式
衛生器具(1/2),大便器,"C 1111
C 1111R
C 1111S",高座面形、洗浄弁式,1,2.10,１式
衛生器具(1/2),大便器,"C 1111
C 1111R
C 1111S","組
高座面形・タンク式",1,1.56,１式
衛生器具(1/2),大便器,"C 710
C 910
C 1200
C 1210
C 710R
C 910R
C 710S
C 910S
C 1200R
C 1210R
C 1200S
C 1210S",洗浄弁式,1,1.06,１式
衛生器具(1/2),大便器,"C 710
C 910
C 1200
C 1210
C 710R
C 910R
C 710S
C 910S
C 1200R
C 1210R
C 1200S
C 1210S",タンク式(ロータンク) 組,1,1.56,１式
衛生器具(1/2),大便器,"C 710
C 910
C 1200
C 1210
C 710R
C 910R
C 710S
C 910S
C 1200R
C 1210R
C 1200S
C 1210S",タンク式(ハイタンク),1,1.65,１式
衛生器具(1/2),小便器,U 510,洗浄弁式床置小便器,1,1.28,１式
衛生器具(1/2),小便器,U 511,洗浄弁式床置小便器,1,1.14,１式
衛生器具(1/2),小便器,U 520,洗 浄 弁 式 壁 掛小 便 器 組,1,0.98,１式
衛生器具(1/2),小便器,U 521,洗 浄 弁 式 壁 掛小 便 器 組,1,0.83,１式
衛生器具(1/2),小便器,U 610,専用洗浄弁式床置小便器,1,1.28,１式
衛生器具(1/2),小便器,U 620,専用洗浄弁式壁掛小便器,1,0.98,１式
衛生器具(1/2),洗面器,"L 410
L 420
L 511",自動水栓１個付,1,0.69,１式
衛生器具(1/2),洗面器,"L 410
L 420
L 511","組
自動混合水栓１個付",1,0.79,１式
