作業名,細目記号摘要単位,材料,"配管工
［人］",その他
衛生器具(2/2),細 目 記 号 摘 要 単位,衛生器具［組］,"配管工
［人］",その他
衛生器具(2/2),"L-710
手 洗 器 組
L-730",1,0.30,１式
衛生器具(2/2),洗 面 化 粧 台 組,1,0.58,１式
衛生器具(2/2),洗 濯 機 パ ン ト ラ ッ プ 付 組,1,0.48,１式
衛生器具(2/2),"S-210
掃 除 流 し バック付き掃除流し 組 NS-210",1,1.10,１式
衛生器具(2/2),飲料用冷水器 立 形 冷 水 水 飲 器 組,1,0.69,１式
衛生器具(2/2),化 粧 棚 陶 器 製 縁 付 個,1［個］,0.15,１式
衛生器具(2/2),鏡 防 湿 形 縁 な し 枚,1［枚］,0.23,１式
衛生器具(2/2),身 障 者 用 鏡 防 湿 形 縁 な し 枚,1［枚］,0.40,１式
衛生器具(2/2),水 石けん 入れ 壁 付 押 ボ タ ン 式 個,1［個］,0.10,１式
衛生器具(2/2),シートペーパーホルダ 個,1［個］,0.13,１式
衛生器具(2/2),仕 切 板 小 便 器 用 、 陶 製 個,1［個］,0.13,１式
衛生器具(2/2),メディシングキャビネット 露 出 形 個,1［個］,0.13,１式
衛生器具(2/2),タ オ ル 掛 け 金 属 製 個,1［個］,0.13,１式
衛生器具(2/2),紙 巻 器	(合紙巻器のみ取付の場)	個,1［個］,0.13,１式
衛生器具(2/2),"大便器用
(洗浄弁のみ取付の場合)
洗 浄 弁 個
小便器用
(洗浄弁のみ取付の場合)",1［個］,0.35,１式
衛生器具(2/2),"大便器用
(洗浄弁のみ取付の場合)
洗 浄 弁 個
小便器用
(洗浄弁のみ取付の場合)",1［個］,0.16,１式
衛生器具(2/2),シャワ ーセット	湯固水定混合式栓シ、ャ吐ワ水ー口	組,1,1.00,１式
衛生器具(2/2),"一括式
小便器用節水装置 組
個別式",1,0.50,１式
衛生器具(2/2),"一括式
小便器用節水装置 組
個別式",1,0.16,１式
衛生器具(2/2),和風大便器耐火カバー 個,1［個］,0.50,１式
衛生器具(2/2),温水洗浄式便座 組,1,0.25,１式
