作業名,名称,摘要,単位,ＡⅠ－１,ＡⅠ－２,備,考
表 RA - 9 - 2 【市】 屋根保護防水密着断熱工法 (１㎡当たり),名 称,摘 要,単位,平 面,平 面,備,考
表 RA - 9 - 2 【市】 屋根保護防水密着断熱工法 (１㎡当たり),アスファルトプライマー,,㎏,0.2,0.2,,
表 RA - 9 - 2 【市】 屋根保護防水密着断熱工法 (１㎡当たり),アスファルト,3種,㎏,6.0,5.0,,
表 RA - 9 - 2 【市】 屋根保護防水密着断熱工法 (１㎡当たり),アスファルトルーフィング,1500,㎡,2.28,1.14,,
表 RA - 9 - 2 【市】 屋根保護防水密着断熱工法 (１㎡当たり),ストレッチルーフィング,1000,㎡,2.28,2.28,,
表 RA - 9 - 2 【市】 屋根保護防水密着断熱工法 (１㎡当たり),フラットヤーンクロス,,㎡,1.1,1.1,,
表 RA - 9 - 2 【市】 屋根保護防水密着断熱工法 (１㎡当たり),断熱材,厚25㎜,㎡,1.04,1.04,,
表 RA - 9 - 2 【市】 屋根保護防水密着断熱工法 (１㎡当たり),燃料,重油,L,1.8,1.5,,
表 RA - 9 - 2 【市】 屋根保護防水密着断熱工法 (１㎡当たり),防水工,,人,0.1,0.086,,
表 RA - 9 - 2 【市】 屋根保護防水密着断熱工法 (１㎡当たり),普通作業員,,人,0.036,0.031,,
表 RA - 9 - 2 【市】 屋根保護防水密着断熱工法 (１㎡当たり),その他,,式,1,1,,
