作業名,名称,摘要,単位,Ｂ－１,Ｂ－１.1,Ｂ－２,Ｂ－２.1,備考
屋根保護防水絶縁工法 (１㎡当たり),名 称,摘 要,単位,平 面,"立上り
立下り面",平 面,"立上り
立下り面",備 考
屋根保護防水絶縁工法 (１㎡当たり),アスファルトプライマー,,㎏,0.2,0.2,0.2,0.2,
屋根保護防水絶縁工法 (１㎡当たり),アスファルト,3種,㎏,6.2,6.93,5.2,5.93,
屋根保護防水絶縁工法 (１㎡当たり),ゴムアスファルト系シール材,,L,―,0.25,―,0.25,
屋根保護防水絶縁工法 (１㎡当たり),アスファルトルーフィング,1500,㎡,2.28,2.28,1.14,1.14,
屋根保護防水絶縁工法 (１㎡当たり),網状アスファルトルーフィング,,㎡,―,0.26,―,0.26,
屋根保護防水絶縁工法 (１㎡当たり),砂付あなあきルーフィング,,㎡,1.04,△1.3,1.04,△1.3,
屋根保護防水絶縁工法 (１㎡当たり),ストレッチルーフィング,1000,㎡,2.28,3.14,2.28,3.14,
屋根保護防水絶縁工法 (１㎡当たり),ポリエチレンフィルム,厚0.15㎜,㎡,1.1,―,1.1,―,
屋根保護防水絶縁工法 (１㎡当たり),燃料,重油,L,1.9,2.7,1.6,2.4,
屋根保護防水絶縁工法 (１㎡当たり),防水工,,人,0.091,0.13,0.076,0.11,
屋根保護防水絶縁工法 (１㎡当たり),普通作業員,,人,0.029,0.042,0.024,0.035,
屋根保護防水絶縁工法 (１㎡当たり),その他,,式,1,1,1,1,
